,variable_id,variable_name,variable_accession_number,ontology_name
0,W10,width of leaf 10,MIPO:0000021,Maize traits
1,FFLW_D20deg,silking,MIPO:0000024,Maize Traits
2,L13,length of leaf 13,MIPO:0000020,Maize traits
3,L8,length of leaf 8,MIPO:0000020,Maize traits
4,ear_height,,MIPO:0000007,Maize Traits
5,Tmax_Fill,between abortion limit stage and physiological maturity.,EIPO:0000005,Environmental Traits
6,TnbL,leaves number,MIPO:0000019,Maize traits
7,Psi_Flo,between panicle appearance and abortion limit stage.,EIPO:0000003,Environmental Traits
8,W13,width of leaf 13,MIPO:0000021,Maize traits
9,Ri_Flo,between panicle appearance and abortion.,EIPO:0000002,Environmental Traits
10,W14,width of leaf 14,MIPO:0000021,Maize traits
11,GN,grain_number,MIPO:0000017,Maize Traits
12,W11,width of leaf 11,MIPO:0000021,Maize traits
13,Tnight_Flo,between panicle appearance and abortion limit stage.,EIPO:0000001,Environmental Traits
14,plant_height,,MIPO:0000006,Maize Traits
15,Tnight_Fill,between abortion limit stage and physiological maturity.,EIPO:0000001,Environmental Traits
16,Tmax_Flo,between panicle appearance and abortion limit stage.,EIPO:0000005,Environmental Traits
17,tassel_height,,MIPO:0000014,Maize Traits
18,Psi_Fill,between abortion limit stage and physiological maturity.,EIPO:0000003,Environmental Traits
19,L9,length of leaf 9,MIPO:0000020,Maize traits
20,GY_Adj_tha,grain_yield,MIPO:0000018,Maize Traits
21,Ri_Early,between panicle initiation and panicle appearance.,EIPO:0000002,Environmental Traits
22,L15,length of leaf 15,MIPO:0000020,Maize traits
23,L10,length of leaf 10,MIPO:0000020,Maize traits
24,W8,width of leaf 8,MIPO:0000021,Maize traits
25,L12,length of leaf 12,MIPO:0000020,Maize traits
26,MFLW_D20deg,anthesis,MIPO:0000025,Maize Traits
27,KW,seed_size,MIPO:0000012,Maize Traits
28,Ri_Fill,between abortion limit stage and physiological maturity.,EIPO:0000002,Environmental Traits
29,W9,width of leaf 9,MIPO:0000021,Maize traits
30,W15,width of leaf 15,MIPO:0000021,Maize traits
31,Tmax_Early,between panicle initiation and panicle appearance.,EIPO:0000005,Environmental Traits
32,L11,length of leaf 11,MIPO:0000020,Maize traits
33,ASI_D20deg,anthesis to silking interval,MIPO:0000026,Maize Traits
34,L14,length of leaf 14,MIPO:0000020,Maize traits
35,Tnight_Early,between panicle initiation and panicle appearance.,EIPO:0000001,Environmental Traits
36,W12,width of leaf 12,MIPO:0000021,Maize traits
37,Check,microplot altered by environmental measure,EIPO:0000004,Environmental traits
