,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate,plot,plant,x,y,observationlevels,experimental_factors,observations
0,DI08019-2itkt,2844341,BTH_Rennes_2009_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3586759', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586749', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586760', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586758', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586757', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586756', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586755', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586754', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586753', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586752', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586751', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586750', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586748', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586747', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}]"
1,DI08011itkt,2844340,BTH_Rennes_2009_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3586736', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586734', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586735', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586737', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586738', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586739', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586740', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586741', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586742', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586743', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586744', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586745', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586733', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586746', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}]"
2,HadmF276itkt,2844357,BTH_Rennes_2009_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3586973', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': '11,9'}, {'observationDbId': '3586984', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586972', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': '61'}, {'observationDbId': '3586974', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': '37'}, {'observationDbId': '3586975', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': '191'}, {'observationDbId': '3586976', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': '115'}, {'observationDbId': '3586977', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': '38'}, {'observationDbId': '3586978', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': '3,03'}, {'observationDbId': '3586979', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': '13,7'}, {'observationDbId': '3586980', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': '444'}, {'observationDbId': '3586981', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': '89'}, {'observationDbId': '3586971', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': '65'}, {'observationDbId': '3586982', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': '94'}, {'observationDbId': '3586983', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': '248'}]"
3,CF08127itkt,2844371,BTH_Rennes_2009_TECH,27800,https://doi.org/10.15454/WQU9II,CF08127,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3587179', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587180', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587167', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587178', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587177', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587176', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587175', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587174', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587173', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587172', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587171', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587170', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587169', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587168', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}]"
4,CF07097itkt,2844352,BTH_Rennes_2009_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3586913', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586914', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586901', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586912', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586911', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586910', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586909', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586908', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586907', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586906', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586905', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586904', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586903', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586902', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}]"
5,CF08139itkt,2844355,BTH_Rennes_2009_TECH,27801,https://doi.org/10.15454/1DEONX,CF08139,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3586947', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586945', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586946', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586948', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586949', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586950', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586951', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586952', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586943', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586953', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586954', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586955', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586944', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586956', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}]"
6,AO09007itkt,2844342,BTH_Rennes_2009_TECH,27776,https://doi.org/10.15454/4JXOGF,AO09007,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3586761', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586773', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586774', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586772', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586771', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586770', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586769', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586768', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586767', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586766', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586765', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586764', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586763', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586762', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}]"
7,DI09015itkt,2844344,BTH_Rennes_2009_TECH,27811,https://doi.org/10.15454/N3NIWD,DI09015,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3586800', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586802', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586801', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586799', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586798', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586797', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586796', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586795', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586794', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586793', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586792', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586789', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586791', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3586790', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}]"
8,DI09017itkt,2844384,BTH_Rennes_2009_TECH,27812,https://doi.org/10.15454/BEWTVM,DI09017,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3587362', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587350', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587349', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587361', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587360', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587359', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587358', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587357', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587356', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587355', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587354', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587353', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587352', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587351', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}]"
9,DI09004itkt,2844361,BTH_Rennes_2009_TECH,27808,https://doi.org/10.15454/GGTVHF,DI09004,BTH_Rennes_2009_TECH,VIRTUAL_TRIAL,,,,,,,,[],"[{'observationDbId': '3587030', 'observationVariableDbId': 'CO_321:1000070', 'observationVariableName': 'prot', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587028', 'observationVariableDbId': 'CO_321:1000220', 'observationVariableName': 'ps', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587029', 'observationVariableDbId': 'CO_321:1000216', 'observationVariableName': 'dur', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587027', 'observationVariableDbId': 'CO_321:1000222', 'observationVariableName': 'zel', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587031', 'observationVariableDbId': 'CO_321:1000226', 'observationVariableName': 'W', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587032', 'observationVariableDbId': 'CO_321:1000227', 'observationVariableName': 'P', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587033', 'observationVariableDbId': 'CO_321:1000228', 'observationVariableName': 'L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587034', 'observationVariableDbId': 'CO_321:1000229', 'observationVariableName': 'P/L', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587035', 'observationVariableDbId': 'CO_321:1000230', 'observationVariableName': 'G', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587036', 'observationVariableDbId': 'CO_321:1000231', 'observationVariableName': 'hag', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587037', 'observationVariableDbId': 'CO_321:1000236', 'observationVariableName': 'NpateG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587038', 'observationVariableDbId': 'CO_321:1000237', 'observationVariableName': 'NpainG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587039', 'observationVariableDbId': 'CO_321:1000238', 'observationVariableName': 'NmieG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}, {'observationDbId': '3587040', 'observationVariableDbId': 'CO_321:1000239', 'observationVariableName': 'NtotG', 'observationTimeStamp': None, 'season': '2009', 'value': 'NA'}]"
