observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
3,3344181,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:2349,REPLICATE>BLOCK:36,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,Yes,,,,93,,,,85,,,,16,,,,9,,,,8,,,
5,3344175,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:2237,REPLICATE>BLOCK:16,REPLICATE>BLOCK:32,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,2012,,,90,,,,85,,,,,,16,,8.5,,,,7.5,,,,,
5,3344153,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:1403,REPLICATE>BLOCK:18,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,,,88,,,,84,,,,,,16,,9,,,,8,,,,,
5,3344168,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:2101,REPLICATE>BLOCK:5,REPLICATE>BLOCK:9,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,95,,,,86,,,,,,16,,8.5,,,,8,,,,,
3,3344151,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:1403,REPLICATE>BLOCK:18,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,,,86,,,,74,,,,,,18,,8.5,,,,7.4,,,,,
1,3344154,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:1418,REPLICATE>BLOCK:3,REPLICATE>BLOCK:5,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3",watered,2012,Yes,,90,,,,80,,,,,,18,,8.7,,,,8.5,,,,,
1,3344161,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2101,REPLICATE>BLOCK:5,REPLICATE>BLOCK:9,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,96,,,,87,,,,,,16,,9,,,,8.5,,,,,
5,3344160,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:1418,REPLICATE>BLOCK:3,REPLICATE>BLOCK:5,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3",watered,2012,Yes,,91,,,,85,,,,,,16,,8.5,,,,8,,,,,
1,3344169,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2237,REPLICATE>BLOCK:16,REPLICATE>BLOCK:32,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,2012,,,96,,,,88,,,,,,16,,8.5,,,,8,,,,,
2,3344172,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:2237,REPLICATE>BLOCK:16,REPLICATE>BLOCK:32,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,2012,,,90,,,,89,,,,,,16,,9,,,,8,,,,,
