observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date
3001water_regimerainfed,3338325,Kar11,KWS Karlsruhe 2011,127400,https://doi.org/10.15454/P5UIAJ,B73_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,278.119453693,,4612.0437574015,,73.1924309855,,74.2103711727,
3001water_regimewatered,3338293,Kar11,KWS Karlsruhe 2011,127400,https://doi.org/10.15454/P5UIAJ,B73_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,305.1567343756,,4636.3014178279,,70.5592545845,,71.9371686412,
3024water_regimewatered,3338316,Kar11,KWS Karlsruhe 2011,127423,https://doi.org/10.15454/M33T8W,LH38_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,291.2630399606,,4202.111920699,,71.9224985051,,72.1198007969,
3009water_regimerainfed,3338333,Kar11,KWS Karlsruhe 2011,127408,https://doi.org/10.15454/MN1MDA,B84_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,315.8621042551,,3308.0906645726,,75.3900443879,,76.2453198554,
3009water_regimewatered,3338301,Kar11,KWS Karlsruhe 2011,127408,https://doi.org/10.15454/MN1MDA,B84_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,327.9818108281,,4231.9805270859,,71.4428679765,,74.6727712464,
3016water_regimerainfed,3338340,Kar11,KWS Karlsruhe 2011,127415,https://doi.org/10.15454/DPMMOI,F1890_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,297.0351350148,,4713.227078851,,73.4910511658,,73.6517097775,
3016water_regimewatered,3338308,Kar11,KWS Karlsruhe 2011,127415,https://doi.org/10.15454/DPMMOI,F1890_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,292.0876731871,,4472.7827108171,,70.8541058405,,72.0030249425,
3032water_regimerainfed,3338356,Kar11,KWS Karlsruhe 2011,127431,https://doi.org/10.15454/YK08AN,UH_P089_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,279.2778235352,,3402.0914659907,,71.0517971633,,72.7435105028,
3021water_regimerainfed,3338345,Kar11,KWS Karlsruhe 2011,127420,https://doi.org/10.15454/GD6TZS,EZ37_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,286.9994064781,,4020.253116579,,73.6922037083,,73.8070818495,
3021water_regimewatered,3338313,Kar11,KWS Karlsruhe 2011,127420,https://doi.org/10.15454/GD6TZS,EZ37_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,281.5437625621,,4214.209859229,,70.8741168897,,71.870446673,
3010water_regimerainfed,3338334,Kar11,KWS Karlsruhe 2011,127409,https://doi.org/10.15454/WBSYN7,F894_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,265.0300206784,,4673.0961604476,,73.8364695822,,74.6661941958,
3010water_regimewatered,3338302,Kar11,KWS Karlsruhe 2011,127409,https://doi.org/10.15454/WBSYN7,F894_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,283.6247223984,,4550.5353377851,,72.6606077843,,73.9547625273,
3002water_regimerainfed,3338326,Kar11,KWS Karlsruhe 2011,127401,https://doi.org/10.15454/AQWE02,PH207_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,303.8434429626,,3957.6505861985,,69.9044758674,,71.2680704226,
3002water_regimewatered,3338294,Kar11,KWS Karlsruhe 2011,127401,https://doi.org/10.15454/AQWE02,PH207_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,308.7923504618,,3905.3232817182,,67.7779579443,,69.1890242819,
3031water_regimerainfed,3338355,Kar11,KWS Karlsruhe 2011,127430,https://doi.org/10.15454/TX6MDP,NC290_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,303.8023258267,,4449.313991234,,72.9681816368,,75.7507425596,
