observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,ASI_D20deg(MIPO:0000026),ASI_D20deg(MIPO:0000026).date,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,ear_height(MIPO:0000007),ear_height(MIPO:0000007).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
401070,3361400,Mur13,KWS Murony 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,401070,,23,8,"REPLICATE>BLOCK>PLOT:401070,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",watered,2013,"0,00000000000",,"67,7330179755",,3522.7535227535,,8.7092034763,,247.2271596639,,"67,7330179755",,163,,288,,NA,
402711,3360701,Mur13,KWS Murony 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,402711,,23,17,"REPLICATE>BLOCK>PLOT:402711,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,"-1,37904880810",,"66,243252045",,3254.0081559689,,8.4988885083,,261.1821513944,,"64,8642032369",,143,,280,,NA,
401015,3361326,Mur13,KWS Murony 2013,127536,https://doi.org/10.15454/ML81EC,F7019_H,REPLICATE>BLOCK>PLOT,,,401015,,20,6,"REPLICATE>BLOCK>PLOT:401015,REPLICATE>BLOCK:8,REPLICATE:2",watered,2013,"-2,84005558070",,"60,5685845381",,3135.8478457455,,7.674093227,,244.7214789916,,"57,7285289574",,153,,258,,NA,
400847,3361133,Mur13,KWS Murony 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,400847,,12,6,"REPLICATE>BLOCK>PLOT:400847,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",watered,2013,"0,00000000000",,"67,7330179755",,3962.4580763821,,10.425303022,,263.1019135365,,"67,7330179755",,145,,288,,NA,
401028,3361352,Mur13,KWS Murony 2013,127474,https://doi.org/10.15454/GF4RQE,EP55_H,REPLICATE>BLOCK>PLOT,,,401028,,21,8,"REPLICATE>BLOCK>PLOT:401028,REPLICATE>BLOCK:21,REPLICATE:2",watered,2013,"-2,84197447100",,"66,243252045",,2922.1985743725,,6.1749680385,,211.3124033613,,"63,401277574",,123,,260,,NA,
402850,3360856,Mur13,KWS Murony 2013,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,REPLICATE>BLOCK>PLOT,,,402850,,28,7,"REPLICATE>BLOCK>PLOT:402850,REPLICATE>BLOCK:28,REPLICATE:1",rainfed,2013,"-2,84197447100",,"66,243252045",,2770.8850289496,,7.3459487179,,265.112,,"63,401277574",,140,,270,,NA,
401072,3361403,Mur13,KWS Murony 2013,127653,https://doi.org/10.15454/CHTSUF,NS501_H,REPLICATE>BLOCK>PLOT,,,401072,,23,10,"REPLICATE>BLOCK>PLOT:401072,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",watered,2013,"-10,33455659310",,"70,9031411312",,2755.6734453286,,6.6746764347,,242.2157983193,,"60,5685845381",,130,,265,,NA,
402248,3360187,Mur13,KWS Murony 2013,127416,https://doi.org/10.15454/O8CNHP,A374_H,REPLICATE>BLOCK>PLOT,,,402248,,6,15,"REPLICATE>BLOCK>PLOT:402248,REPLICATE>BLOCK:6,REPLICATE:2",rainfed,2013,"-2,86881473860",,"67,7330179755",,3108.0031080031,,6.1279539459,,197.1669182095,,"64,8642032369",,135,,253,,NA,
402283,3360226,Mur13,KWS Murony 2013,127535,https://doi.org/10.15454/UUGPLJ,F618_H,REPLICATE>BLOCK>PLOT,,,402283,,7,21,"REPLICATE>BLOCK>PLOT:402283,REPLICATE>BLOCK:7,REPLICATE:3",rainfed,2013,"-4,17706419110",,"63,401277574",,2480.0336275746,,6.4706760678,,260.9108197496,,"59,2242133829",,113,,230,,NA,
402310,3360256,Mur13,KWS Murony 2013,127416,https://doi.org/10.15454/O8CNHP,A374_H,REPLICATE>BLOCK>PLOT,,,402310,,8,7,"REPLICATE>BLOCK>PLOT:402310,REPLICATE>BLOCK:8,REPLICATE:1",rainfed,2013,"-2,84197447100",,"66,243252045",,3750.2180359323,,7.8576068376,,209.524,,"63,401277574",,150,,263,,NA,
400876,3361197,Mur13,KWS Murony 2013,127535,https://doi.org/10.15454/UUGPLJ,F618_H,REPLICATE>BLOCK>PLOT,,,400876,,14,19,"REPLICATE>BLOCK>PLOT:400876,REPLICATE>BLOCK:26,REPLICATE:2",watered,2013,"-2,83269303590",,"63,401277574",,3205.1282051282,,8.3522689076,,260.590789916,,"60,5685845381",,133,,253,,NA,
402699,3360688,Mur13,KWS Murony 2013,127455,https://doi.org/10.15454/CGZZ3F,DK78371A_H,REPLICATE>BLOCK>PLOT,,,402699,,23,5,"REPLICATE>BLOCK>PLOT:402699,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,"-4,41361071200",,"69,2778139489",,2943.4222517796,,8.7347350427,,296.7544,,"64,8642032369",,143,,268,,NA,
402740,3360733,Mur13,KWS Murony 2013,127530,https://doi.org/10.15454/2BEETM,F04701_H,REPLICATE>BLOCK>PLOT,,,402740,,24,9,"REPLICATE>BLOCK>PLOT:402740,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,"-2,84197447100",,"66,243252045",,2945.936377889,,8.5154529915,,289.0576,,"63,401277574",,153,,253,,NA,
400602,3360866,Mur13,KWS Murony 2013,127530,https://doi.org/10.15454/2BEETM,F04701_H,REPLICATE>BLOCK>PLOT,,,400602,,1,2,"REPLICATE>BLOCK>PLOT:400602,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",watered,2013,"-2,84197447100",,"66,243252045",,3092.3183097096,,8.2904286831,,268.0975194897,,"63,401277574",,125,,255,,NA,
402268,3360209,Mur13,KWS Murony 2013,127534,https://doi.org/10.15454/AIXVTG,F608_H,REPLICATE>BLOCK>PLOT,,,402268,,7,6,"REPLICATE>BLOCK>PLOT:402268,REPLICATE>BLOCK:7,REPLICATE:1",rainfed,2013,"-7,01903866210",,"66,243252045",,2816.6278166278,,6.3591794872,,225.7728,,"59,2242133829",,105,,223,,NA,
