observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI00005itkt,2770206,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,150,,"102,4",,,,"123,9",,,,,,1,
DI00005itknt,2770205,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"108,1",,1,,"92,2",,7,,1,,,
EM00301itkt,2770216,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,155,,"92,5",,,,"111,9",,,,,,1,
EM00004itknt,2770187,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"106,6",,1,,"90,8",,1,,1,,,
Ornicaritknt,2770193,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"73,7",,1,,"62,8",,1,,1,,,
DI00004itkt,2770204,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,152,,"90,2",,,,"109,2",,,,,,1,
DI00004itknt,2770203,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"100,2",,1,,"85,4",,7,,1,,,
DI00016itkt,2770232,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,148,,95,,,,"114,9",,,,,,1,
DI00016itknt,2770231,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"67,8",,1,,"57,8",,2,,1,,,
CF00193itkt,2770182,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,147,,"80,2",,,,"97,1",,,,,,1,
CF00193itknt,2770181,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"85,4",,1,,"72,8",,4,,7,,,
Oratorioitknt,2770199,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"101,5",,1,,"86,5",,1,,8,,,
Ornicaritkt,2770194,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,147,,100,,,,"120,9",,,,,,1,
EM00004itkt,2770188,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,148,,"94,3",,,,"114,1",,,,,,1,
DI00010itknt,2770229,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"106,1",,7,,"90,4",,1,,7,,,
RE00008itknt,2770207,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"106,7",,1,,"90,9",,1,,7,,,
