observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Ressoritkt,2775383,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,8",,96,,148,,54,,202,,33,,"0,35",,114,,13,,92,,176,,"42,65",,"11,4",,77,,44,,"1,66",,28,
CF99005itkt,2775384,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,3",,75,,79,,40,,119,,68,,"0,9",,215,,30,,342,,188,,"45,05",,"11,3",,80,,58,,"1,9",,37,
Koreliitkt,2775353,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2001,18,,65,,147,,69,,216,,82,,"1,25",,205,,35,,310,,150,,"47,65",,"10,9",,"79,5",,53,,"2,92",,32,
RE99009itkt,2775395,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,6",,70,,135,,69,,204,,40,,"0,57",,119,,14,,171,,167,,"44,85",,"11,1",,"74,5",,41,,"1,21",,26,
RE01004itkt,2775369,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,5",,77,,134,,75,,209,,109,,"1,41",,319,,45,,320,,230,,"47,9",,"12,5",,"82,5",,59,,"1,94",,38,
CF00193itkt,2775393,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,2",,91,,168,,79,,247,,91,,1,,329,,48,,336,,189,,"39,65",,"13,3",,80,,71,,"2,09",,46,
CF00189itkt,2775362,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,9",,97,,131,,52,,183,,50,,"0,52",,170,,4,,249,,126,,"46,55",,"11,9",,"77,5",,51,,"2,57",,29,
CF99105itkt,2775394,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,8",,125,,156,,73,,229,,69,,"0,55",,284,,40,,281,,198,,"44,6",,"11,7",,80,,63,,"2,91",,41,
RE99102itkt,2775357,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26002,https://doi.org/10.15454/4NCDUP,RE99102,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,7",,105,,133,,64,,197,,58,,"0,56",,201,,21,,152,,257,,"38,45",,"11,4",,"80,5",,46,,"2,83",,30,
RE00108itkt,2775376,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,1",,82,,NA,,NA,,NA,,84,,"1,03",,254,,44,,NA,,264,,"40,15",,"11,6",,"82,5",,51,,"2,22",,32,
DI9714itkt,2775356,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,8",,88,,166,,76,,242,,99,,"1,12",,343,,38,,383,,220,,"45,3",,"12,5",,"78,5",,67,,"3,21",,41,
RE00149itkt,2775370,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,8",,96,,160,,76,,236,,105,,"1,09",,310,,40,,315,,184,,"49,75",,"11,8",,"82,5",,62,,"2,9",,45,
RE00144itkt,2775401,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,1",,99,,149,,67,,216,,60,,"0,61",,194,,5,,253,,149,,"47,2",,"11,9",,79,,47,,"3,15",,30,
