observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Ressor,2786173,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,2003,"6,5",,1,,NA,,NA,,4,,1,
CF99005,2786176,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,2003,5,,1,,NA,,NA,,4,,1,
Recital,2786174,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
Koreli,2786164,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,NA,,NA,,1,,1,
CF00193,2786185,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,2003,8,,1,,NA,,NA,,3,,3,
CF99105,2786186,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,2003,5,,1,,NA,,NA,,1,,1,
AO03002,2786153,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,48579,gnpis_pui:holding-921_taxon-4898_accession-48579,AO03002,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,"6,48",,3124,,3,,1,
DI01022,2786160,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,2003,"5,5",,1,,NA,,NA,,3,,1,
EM00264,2786181,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,NA,,NA,,3,,3,
Apache,2786167,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
AO03004,2786156,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,48916,gnpis_pui:holding-921_taxon-4898_accession-48916,AO03004,VIRTUAL_TRIAL,,,,,,,,2003,"2,5",,1,,"7,1",,4445,,1,,1,
Skerzzo,2786184,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,NA,,NA,,1,,1,
Charger,2786172,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
Crousty,2786175,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
Tamaro,2786188,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
CF99351,2786166,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,2003,5,,1,,NA,,NA,,1,,1,
Voltige,2786163,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
EM00018,2786177,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,2003,7,,1,,NA,,NA,,3,,1,
DI00010,2786162,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,2003,3,,1,,NA,,NA,,3,,1,
