observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI02008itkfi,2788255,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,90,,1,,139,,"10,7",,"104,6",,1,,"92,2",,1,,,
RE02101itknt,2788268,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,89,,1,,143,,,,"102,4",,2,,"86,4",,2,,6,
DI02021itkfi,2788264,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,95,,1,,136,,"10,5",,102,,3,,"89,9",,1,,,
DI02008itknt,2788256,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,85,,1,,141,,,,"101,6",,1,,"85,8",,1,,7,
EM01324itkt,2788230,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,treated,2003,78,,1,,142,,10,,95,,1,,"93,9",,1,,1,
DI02028itknt,2788262,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,89,,1,,137,,,,"99,5",,3,,"83,9",,2,,7,
EM01324itkfi,2788228,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,85,,1,,139,,"10,3",,"96,5",,4,,"85,1",,3,,,
RE01092itkfi,2788210,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,88,,1,,132,,12,,"94,9",,1,,"83,6",,1,,,
EM01024itkfi,2788213,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,93,,1,,134,,"10,9",,"103,1",,2,,"90,9",,2,,,
RE01092itknt,2788211,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,79,,1,,138,,,,"94,9",,1,,"80,1",,1,,7,
EM01325itkt,2788227,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,1,,138,,"11,5",,"87,1",,1,,"86,1",,1,,1,
DI02028itkt,2788263,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,1,,136,,"10,7",,"100,1",,1,,"98,9",,1,,1,
RE01092itkt,2788212,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2003,78,,1,,138,,"12,2",,"89,5",,1,,"88,5",,1,,1,
DI02028itkfi,2788261,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,94,,3,,132,,"10,4",,"101,5",,1,,"89,4",,1,,,
CF00060itkt,2788203,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,1,,138,,"11,3",,89,,1,,"87,9",,1,,1,
RE01015itkfi,2788189,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,93,,1,,136,,"10,5",,"92,2",,1,,"81,2",,1,,,
Soissonsitkfi,2788285,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,95,,4,,127,,"9,9",,"95,6",,8,,"84,2",,1,,,
RE01015itknt,2788190,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,85,,1,,138,,,,"93,9",,2,,"79,2",,1,,8,
Soissonsitknt,2788286,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,85,,1,,127,,,,101,,7,,"85,3",,1,,6,
