observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
CF02279itkt,2792294,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48914,gnpis_pui:holding-921_taxon-4898_accession-48914,CF02279,VIRTUAL_TRIAL,,,,,,,,treated,2003,81,,139,,"86,1",,"89,6",,1,
RE02080itkt,2792284,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26100,https://doi.org/10.15454/AM3GAN,RE02080,VIRTUAL_TRIAL,,,,,,,,treated,2003,74,,140,,93,,"96,7",,1,
EM02224itkt,2792317,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,138,,"94,3",,"98,1",,1,
EM02203itkt,2792309,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49337,gnpis_pui:holding-921_taxon-4898_accession-49337,EM02203,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,135,,"92,3",,96,,2,
DI03019itkt,2792277,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48738,gnpis_pui:holding-921_taxon-4898_accession-48738,DI03019,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,133,,"92,3",,96,,1,
EM02158itkt,2792285,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48764,gnpis_pui:holding-921_taxon-4898_accession-48764,EM02158,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,138,,"81,6",,"84,9",,1,
RE02084itkt,2792281,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49576,gnpis_pui:holding-921_taxon-4898_accession-49576,RE02084,VIRTUAL_TRIAL,,,,,,,,treated,2003,93,,142,,"72,5",,"75,4",,1,
DI03024itkt,2792291,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48936,gnpis_pui:holding-921_taxon-4898_accession-48936,DI03024,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,139,,"86,2",,"89,7",,1,
EM02147itkt,2792308,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48940,gnpis_pui:holding-921_taxon-4898_accession-48940,EM02147,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,137,,"82,4",,"85,7",,1,
EM02164itkt,2792315,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49123,gnpis_pui:holding-921_taxon-4898_accession-49123,EM02164,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,142,,"85,2",,"88,6",,1,
RE02113itkt,2792282,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49466,gnpis_pui:holding-921_taxon-4898_accession-49466,RE02113,VIRTUAL_TRIAL,,,,,,,,treated,2003,93,,139,,"86,9",,"90,4",,1,
CF01108itkt,2792307,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48583,gnpis_pui:holding-921_taxon-4898_accession-48583,CF01108,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,135,,"96,3",,"100,2",,3,
RE02116itkt,2792288,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48389,gnpis_pui:holding-921_taxon-4898_accession-48389,RE02116,VIRTUAL_TRIAL,,,,,,,,treated,2003,101,,134,,"99,6",,"103,6",,2,
