observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI02008itkt,2792766,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2004,6,,"94,6",,"100,7",,2,,1,
EM00264itkt,2792772,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2004,3,,"100,4",,"106,8",,3,,1,
Koreliitkt,2792753,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2004,4,,"95,7",,"101,8",,2,,1,
RE02101itkt,2792752,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2004,3,,"98,5",,"104,9",,2,,1,
Soissonsitkt,2792778,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2004,2,,"91,4",,"97,3",,4,,1,
EM00074itkt,2792771,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2004,6,,"107,2",,"114,1",,1,,1,
CF01085itkt,2792764,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2004,5,,"96,1",,"102,3",,4,,1,
RE01047itkt,2792767,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,treated,2004,2,,"93,6",,"99,7",,1,,1,
Tamaroitkt,2792757,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2004,4,,"68,4",,"72,8",,2,,2,
Apacheitkt,2792756,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,6,,"98,2",,"104,5",,2,,1,
