observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI02008itkt,2794418,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2004,"74,1",,"95,5",,"104,5",,,
EM01214itknt,2794407,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"99,1",,"98,3",,1,
RE02162itkt,2794440,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26101,https://doi.org/10.15454/FFIEB9,RE02162,VIRTUAL_TRIAL,,,,,,,,treated,2004,"73,2",,"90,8",,"99,4",,,
Isengrainitkt,2794434,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,75,,"102,1",,"111,7",,,
EM01271itkt,2794396,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2004,"70,4",,"93,9",,"102,7",,,
Koreliitkt,2794392,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2004,"81,3",,"100,8",,"110,3",,,
EM01271itknt,2794395,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"93,7",,"92,9",,"5,5",
Rytmicitknt,2794405,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"114,2",,"113,3",,2,
Koreliitknt,2794391,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"109,6",,"108,7",,"3,5",
Oratorioitkt,2794426,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"79,9",,"94,6",,"103,5",,,
