observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI03003,2796469,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,1171,,NA,,9,
EM02224,2796483,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,1043,,1,,1,
EM02054,2796462,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,777,,2,,1,
Apache,2796465,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2004,NA,,NA,,NA,,NA,,NA,
CF01185,2796478,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,26425,https://doi.org/10.15454/LCAXP3,CF01185,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,1,,4322,,4,,1,
EM02024,2796480,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,2004,"5,5",,1,,749,,3,,3,
EM02096,2796458,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,2004,"5,5",,1,,914,,5,,1,
Charger,2796468,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2004,NA,,NA,,NA,,NA,,NA,
Caphorn,2796466,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2004,NA,,NA,,NA,,NA,,NA,
CF02170,2796464,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,26421,https://doi.org/10.15454/LV5TNC,CF02170,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,1,,685,,1,,1,
