observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Barokitkfi,2797713,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,63",,"111,5",,"95,3",,1,
RE03101itkt,2797734,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,7",,101,,111,,1,
Barokitkt,2797714,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,74",,"94,2",,"103,5",,1,
Oratorioitkt,2797784,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,83",,"94,7",,"104,1",,1,
CF03201itkfi,2797763,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,41",,"103,3",,"88,4",,1,
CF03450itkt,2797752,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49209,gnpis_pui:holding-921_taxon-4898_accession-49209,CF03450,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,27",,"98,7",,"108,5",,1,
DI04005itkt,2797790,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48460,gnpis_pui:holding-921_taxon-4898_accession-48460,DI04005,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,99",,"92,7",,"101,8",,1,
CF03198itkt,2797804,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48845,gnpis_pui:holding-921_taxon-4898_accession-48845,CF03198,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,19",,"83,8",,"92,1",,1,
CF03201itkt,2797764,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,4",,"100,4",,"110,3",,7,
CF03198itkfi,2797803,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48845,gnpis_pui:holding-921_taxon-4898_accession-48845,CF03198,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,7",,"97,1",,83,,1,
RE03157itkt,2797782,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48600,https://doi.org/10.15454/MYOQSH,RE03157,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,16",,95,,"104,4",,"7,5",
EM01343itkfi,2797767,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,9",,111,,"94,9",,1,
EM01343itkt,2797768,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,96",,"103,2",,"113,5",,1,
RE03157itkfi,2797781,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48600,https://doi.org/10.15454/MYOQSH,RE03157,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,68",,"99,4",,"85,1",,1,
Farandoleitkfi,2797757,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,56",,"103,6",,"88,6",,1,
LM03005itkt,2797728,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,76",,91,,100,,1,
RE03156itkt,2797740,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48668,gnpis_pui:holding-921_taxon-4898_accession-48668,RE03156,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,68",,"87,6",,"96,3",,1,
EM01100.2itkfi,2797779,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49446,gnpis_pui:holding-921_taxon-4898_accession-49446,EM01100.2,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,8",,"98,5",,"84,2",,4,
RE03156itkfi,2797739,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48668,gnpis_pui:holding-921_taxon-4898_accession-48668,RE03156,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,9,,102,,"87,3",,1,
LM03007itkt,2797718,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49055,gnpis_pui:holding-921_taxon-4898_accession-49055,LM03007,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,06",,"88,5",,"97,3",,1,
LM03007itkfi,2797717,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49055,gnpis_pui:holding-921_taxon-4898_accession-49055,LM03007,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,81",,"89,9",,"76,9",,5,
EM01100.2itkt,2797780,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49446,gnpis_pui:holding-921_taxon-4898_accession-49446,EM01100.2,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,25",,"95,6",,"105,1",,1,
RE03119itkfi,2797753,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49242,gnpis_pui:holding-921_taxon-4898_accession-49242,RE03119,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,57",,"102,1",,"87,4",,1,
LM03005itkfi,2797727,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,52",,"96,7",,"82,8",,2,
Chargeritkt,2797766,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,28",,"97,5",,"107,1",,1,
