observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE03136itknt,2799863,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49407,gnpis_pui:holding-921_taxon-4898_accession-49407,RE03136,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,101,,"99,2",,1,
CF03252itkt,2799872,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49339,gnpis_pui:holding-921_taxon-4898_accession-49339,CF03252,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"95,1",,"103,7",,1,
LM03010itkt,2799858,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48581,gnpis_pui:holding-921_taxon-4898_accession-48581,LM03010,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"93,8",,"102,2",,1,
LM03010itknt,2799857,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48581,gnpis_pui:holding-921_taxon-4898_accession-48581,LM03010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"96,3",,"94,6",,1,
DI04010itkt,2799816,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48983,gnpis_pui:holding-921_taxon-4898_accession-48983,DI04010,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"92,7",,"101,1",,2,
DI04010itknt,2799815,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48983,gnpis_pui:holding-921_taxon-4898_accession-48983,DI04010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"102,3",,"100,4",,3,
EM03047itknt,2799789,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49041,gnpis_pui:holding-921_taxon-4898_accession-49041,EM03047,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"101,4",,"99,6",,1,
EM03047itkt,2799790,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49041,gnpis_pui:holding-921_taxon-4898_accession-49041,EM03047,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,98,,"106,8",,1,
RE03098itkt,2799874,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48665,gnpis_pui:holding-921_taxon-4898_accession-48665,RE03098,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"100,8",,"109,9",,1,
RE03098itknt,2799873,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48665,gnpis_pui:holding-921_taxon-4898_accession-48665,RE03098,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"98,3",,"96,5",,2,
EM03051itkt,2799832,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49248,gnpis_pui:holding-921_taxon-4898_accession-49248,EM03051,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"99,7",,"108,7",,1,
EM03051itknt,2799831,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49248,gnpis_pui:holding-921_taxon-4898_accession-49248,EM03051,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"113,2",,"111,2",,1,
DI04014itknt,2799807,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49289,gnpis_pui:holding-921_taxon-4898_accession-49289,DI04014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,107,,"105,1",,3,
DI04014itkt,2799808,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49289,gnpis_pui:holding-921_taxon-4898_accession-49289,DI04014,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,100,,109,,1,
CF03269itkt,2799828,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48526,gnpis_pui:holding-921_taxon-4898_accession-48526,CF03269,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"92,1",,"100,4",,1,
CF03269itknt,2799827,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48526,gnpis_pui:holding-921_taxon-4898_accession-48526,CF03269,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"93,7",,"92,1",,1,
