observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Barokitknt,2804741,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,78,,143,,"75,3",,"106,8",,"74,2",,2,
DI04017itkt,2804758,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,treated,2005,"81,5",,141,,"76,5",,"97,8",,78,,,
Orvantisitkt,2804800,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,82,,143,,"77,4",,"107,9",,"86,1",,,
Barokitkt,2804742,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,143,,76,,"97,2",,"77,5",,,
Orvantisitknt,2804799,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"79,5",,142,,"77,5",,"105,3",,"73,2",,"5,5",
DI04018itkt,2804768,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,treated,2005,82,,143,,"70,3",,108,,"86,1",,,
DI9714itknt,2804753,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,NA,,NA,,"68,7",,"85,7",,"59,6",,2,
DI04018itknt,2804767,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,80,,144,,"69,4",,"114,9",,"79,9",,"2,5",
DI04017itknt,2804757,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"77,5",,142,,"75,4",,"111,1",,"77,2",,"2,5",
DI9714itkt,2804754,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2005,NA,,NA,,"70,2",,77,,"61,4",,,
EM03193itkt,2804770,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,treated,2005,"77,5",,145,,"75,5",,"101,8",,"81,2",,,
EM03206itkt,2804808,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,treated,2005,"78,5",,144,,"77,4",,"87,2",,"69,6",,,
Farandoleitknt,2804777,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"74,5",,141,,"73,9",,"109,1",,"75,8",,3,
LM03014itknt,2804793,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,78,,142,,"73,7",,"107,9",,75,,"2,5",
LM03014itkt,2804794,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2005,83,,142,,"74,4",,"89,4",,"71,3",,,
DI05030itkt,2804752,BTH_Dijon_2005_SetA2,BTH_Dijon_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,treated,2005,"83,5",,143,,"69,8",,109,,"86,9",,,
