observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE04125itkt,2808897,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48485,gnpis_pui:holding-921_taxon-4898_accession-48485,RE04125,VIRTUAL_TRIAL,,,,,,,,treated,2005,70,,145,,"93,8",,"74,6",
DI05021itkt,2808926,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2005,71,,142,,"97,7",,"77,7",
EM03332itkt,2808929,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,146,,"105,1",,"83,6",
CF04043itkt,2808907,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,140,,"93,9",,"74,6",
CF04022itkt,2808905,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,142,,"97,4",,"77,4",
CF04052itkt,2808900,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,140,,"97,4",,"77,4",
RE04097itkt,2808914,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48464,gnpis_pui:holding-921_taxon-4898_accession-48464,RE04097,VIRTUAL_TRIAL,,,,,,,,treated,2005,68,,148,,"96,5",,"76,8",
CF04101itkt,2808921,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,49054,gnpis_pui:holding-921_taxon-4898_accession-49054,CF04101,VIRTUAL_TRIAL,,,,,,,,treated,2005,70,,137,,"90,3",,"71,8",
RE04124itkt,2808898,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,49453,gnpis_pui:holding-921_taxon-4898_accession-49453,RE04124,VIRTUAL_TRIAL,,,,,,,,treated,2005,73,,141,,"89,6",,"71,2",
DI05026itkt,2808932,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48489,gnpis_pui:holding-921_taxon-4898_accession-48489,DI05026,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,141,,"97,7",,"77,7",
DI05027itkt,2808931,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48705,gnpis_pui:holding-921_taxon-4898_accession-48705,DI05027,VIRTUAL_TRIAL,,,,,,,,treated,2005,68,,141,,"93,7",,"74,5",
CF04159itkt,2808916,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48809,gnpis_pui:holding-921_taxon-4898_accession-48809,CF04159,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,141,,"92,8",,"73,8",
EM03271itkt,2808927,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48565,gnpis_pui:holding-921_taxon-4898_accession-48565,EM03271,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,145,,"87,3",,"69,4",
EM03204itkt,2808906,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48628,gnpis_pui:holding-921_taxon-4898_accession-48628,EM03204,VIRTUAL_TRIAL,,,,,,,,treated,2005,66,,150,,"94,4",,75,
Apacheitkt,2808912,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,141,,"106,3",,"84,5",
RE04100itkt,2808904,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,49735,gnpis_pui:holding-921_taxon-4898_accession-49735,RE04100,VIRTUAL_TRIAL,,,,,,,,treated,2005,68,,147,,"94,7",,"75,3",
RE04098itkt,2808910,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48437,gnpis_pui:holding-921_taxon-4898_accession-48437,RE04098,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,148,,"100,4",,"79,8",
CF04164itkt,2808911,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48363,gnpis_pui:holding-921_taxon-4898_accession-48363,CF04164,VIRTUAL_TRIAL,,,,,,,,treated,2005,70,,137,,"93,2",,"74,1",
Chargeritkt,2808920,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,63,,145,,"95,5",,76,
Caphornitkt,2808918,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,70,,141,,"98,4",,"78,2",
RE04101itkt,2808903,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,26834,https://doi.org/10.15454/NMELF4,RE04101,VIRTUAL_TRIAL,,,,,,,,treated,2005,68,,138,,"88,6",,"70,4",
Orvantisitkt,2808924,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,141,,"99,8",,"79,4",
DI05025itkt,2808899,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,144,,"100,7",,80,
CF04048itkt,2808917,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,141,,"102,4",,"81,4",
CF04114itkt,2808902,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48527,https://doi.org/10.15454/5LEWVH,CF04114,VIRTUAL_TRIAL,,,,,,,,treated,2005,68,,141,,"89,7",,"71,3",
EM03234itkt,2808925,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,147,,"94,4",,"75,1",
RE04096itkt,2808915,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48421,gnpis_pui:holding-921_taxon-4898_accession-48421,RE04096,VIRTUAL_TRIAL,,,,,,,,treated,2005,64,,145,,"90,7",,"72,1",
DI05028itkt,2808923,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48436,gnpis_pui:holding-921_taxon-4898_accession-48436,DI05028,VIRTUAL_TRIAL,,,,,,,,treated,2005,66,,146,,"93,5",,"74,4",
RE04094itkt,2808913,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48721,gnpis_pui:holding-921_taxon-4898_accession-48721,RE04094,VIRTUAL_TRIAL,,,,,,,,treated,2005,70,,147,,"95,3",,"75,8",
RE04082itkt,2808933,BTH_Clermont-Ferrand_2005_SetB3,BTH_Clermont-Ferrand_2005_SetB3,48348,gnpis_pui:holding-921_taxon-4898_accession-48348,RE04082,VIRTUAL_TRIAL,,,,,,,,treated,2005,73,,140,,"87,5",,"69,6",
