observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI05021itkfi,2810104,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,1,,137,,"119,9",,6,,"84,9",,1,
Apacheitkfi,2810090,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,130,,"93,8",,3,,"66,4",,1,
EM03332itkfi,2810107,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,3,,141,,"115,5",,2,,"81,8",,1,
DI05023itkfi,2810112,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48851,gnpis_pui:holding-921_taxon-4898_accession-48851,DI05023,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,1,,139,,"88,3",,2,,"62,6",,1,
RE04099itkfi,2810087,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48855,gnpis_pui:holding-921_taxon-4898_accession-48855,RE04099,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,139,,"97,3",,4,,"68,9",,1,
CF04043itkfi,2810085,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,115,,1,,136,,"120,6",,3,,"85,4",,1,
RE04100itkfi,2810082,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,49735,gnpis_pui:holding-921_taxon-4898_accession-49735,RE04100,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,141,,"99,8",,6,,"70,7",,1,
DI05025itkfi,2810077,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,1,,139,,"118,6",,3,,84,,1,
CF04022itkfi,2810083,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,140,,"120,3",,3,,"85,2",,1,
CF04048itkfi,2810095,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,4,,140,,"118,2",,3,,"83,8",,1,
RE04094itkfi,2810091,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48721,gnpis_pui:holding-921_taxon-4898_accession-48721,RE04094,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,140,,"92,4",,8,,"65,5",,1,
