observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date
RE04009itkt,2812718,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,treated,2006,"72,2",
DI05020-2itkfi,2812749,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,77,
DI05020-2itkt,2812750,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,77,
DI05022itkt,2812770,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2006,"77,4",
DI05022itkfi,2812769,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"77,2",
DI05004itkfi,2812711,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,4",
DI05004itkt,2812712,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,treated,2006,"75,4",
DI05003-2itkt,2812738,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,"76,8",
DI05003-2itkfi,2812737,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,3",
DI05001-2itkfi,2812733,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,6",
DI05001-2itkt,2812734,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,"71,9",
DI05021itkt,2812766,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2006,"77,2",
DI05021itkfi,2812765,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,7",
DI05020itkt,2812768,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2006,"77,4",
DI05020itkfi,2812767,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"77,6",
EM03332itkt,2812740,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2006,"75,8",
EM03332itkfi,2812739,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,6",
DI05014itkfi,2812725,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"72,6",
DI05014itkt,2812726,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2006,74,
CF04043itkt,2812730,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,"74,6",
CF04043itkfi,2812729,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,5",
Hendrixitkt,2812720,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2006,"81,3",
Hendrixitkfi,2812719,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"80,1",
RE04022itkt,2812722,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,treated,2006,"77,4",
RE04022itkfi,2812721,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,6",
CF04022itkfi,2812757,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,1",
CF04022itkt,2812758,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,treated,2006,"74,4",
CF04184itkfi,2812761,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,78,
CF04184itkt,2812762,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,treated,2006,"79,3",
Apacheitkt,2812732,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,"78,3",
Apacheitkfi,2812731,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,6",
Chargeritkt,2812748,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2006,72,
Chargeritkfi,2812747,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"71,4",
Caphornitkt,2812744,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2006,"76,2",
Caphornitkfi,2812743,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,6",
EM04181itkfi,2812753,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,7",
EM04181itkt,2812754,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,treated,2006,"73,4",
DI05001itkt,2812774,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,treated,2006,"73,4",
DI05001itkfi,2812773,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,74,
RE03019itkfi,2812763,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"79,7",
RE03019itkt,2812764,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,treated,2006,"80,9",
RE04009itkfi,2812717,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,72,
RE04043itkfi,2812723,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"72,5",
RE04043itkt,2812724,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,"73,7",
Orvantisitkt,2812760,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2006,"76,5",
Orvantisitkfi,2812759,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,4",
DI05025itkt,2812716,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,treated,2006,"78,5",
DI05025itkfi,2812715,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,3",
CF04048itkt,2812742,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,treated,2006,"75,6",
CF04048itkfi,2812741,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,1",
EM03234itkt,2812752,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,treated,2006,"68,9",
EM03234itkfi,2812751,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"70,3",
EM04081itkfi,2812735,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,7",
EM04081itkt,2812736,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,treated,2006,"77,3",
CF04076itkt,2812714,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,treated,2006,"73,3",
CF04076itkfi,2812713,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"72,9",
EM04241itkt,2812756,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,treated,2006,"76,2",
EM04241itkfi,2812755,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,4",
DI05003itkt,2812772,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,treated,2006,"76,8",
DI05003itkfi,2812771,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,2",
Farandoleitkt,2812746,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2006,"73,7",
Farandoleitkfi,2812745,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,9",
EM04145itkt,2812728,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,treated,2006,"78,2",
EM04145itkfi,2812727,BTH_Colmar_2006_SetA2,BTH_Colmar_2006_SetA2,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"77,4",
