observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date
CF05079itkt,2816026,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2006,84,,141,,"77,6",
RE05050itkt,2816018,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,141,,"77,8",
Apacheitkt,2816013,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,140,,79,
AO06407itkt,2816004,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,143,,"76,8",
RE05047itkt,2816001,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,treated,2006,87,,141,,"77,2",
RE05038itkt,2816020,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,treated,2006,89,,143,,"72,6",
CF05084itkt,2816000,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48438,gnpis_pui:holding-921_taxon-4898_accession-48438,CF05084,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,142,,"77,6",
DI06009itkt,2816032,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48923,gnpis_pui:holding-921_taxon-4898_accession-48923,DI06009,VIRTUAL_TRIAL,,,,,,,,treated,2006,77,,145,,"77,1",
DI06011itkt,2816006,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48760,gnpis_pui:holding-921_taxon-4898_accession-48760,DI06011,VIRTUAL_TRIAL,,,,,,,,treated,2006,76,,143,,"70,2",
CF05169itkt,2816003,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48736,https://doi.org/10.15454/X75WAV,CF05169,VIRTUAL_TRIAL,,,,,,,,treated,2006,84,,141,,"77,6",
DI06013itkt,2816008,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49342,gnpis_pui:holding-921_taxon-4898_accession-49342,DI06013,VIRTUAL_TRIAL,,,,,,,,treated,2006,84,,144,,"76,2",
Orvantisitkt,2816027,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,143,,"77,8",
CF04060itkt,2816014,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49634,gnpis_pui:holding-921_taxon-4898_accession-49634,CF04060,VIRTUAL_TRIAL,,,,,,,,treated,2006,77,,141,,"74,4",
RE05031itkt,2816015,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49144,gnpis_pui:holding-921_taxon-4898_accession-49144,RE05031,VIRTUAL_TRIAL,,,,,,,,treated,2006,86,,142,,"74,2",
CF05235itkt,2816002,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48770,https://doi.org/10.15454/EKVXQT,CF05235,VIRTUAL_TRIAL,,,,,,,,treated,2006,88,,142,,"77,8",
DI06010itkt,2816007,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48551,gnpis_pui:holding-921_taxon-4898_accession-48551,DI06010,VIRTUAL_TRIAL,,,,,,,,treated,2006,74,,147,,"74,1",
RE05037itkt,2816019,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,treated,2006,92,,142,,"73,2",
CF05159itkt,2816030,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48381,gnpis_pui:holding-921_taxon-4898_accession-48381,CF05159,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,140,,"77,5",
CF05161itkt,2816005,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,treated,2006,83,,142,,"74,7",
