observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2817760,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,07",,"111,83",
2,2817768,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49274,https://doi.org/10.15454/WL2TYG,DI06024,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,86",,"115,28",
1,2817767,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49274,https://doi.org/10.15454/WL2TYG,DI06024,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"12,36",,"110,95",
2,2817708,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"10,86",,"106,91",
1,2817705,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,31",,"97,88",
1,2817707,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"12,16",,"104,94",
1,2817739,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"12,43",,"106,41",
2,2817738,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,41",,"100,17",
2,2817740,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,87",,"105,59",
1,2817737,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,46",,NA,
2,2817762,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49098,https://doi.org/10.15454/YQH6B1,CF05070,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,69",,"97,19",
1,2817761,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49098,https://doi.org/10.15454/YQH6B1,CF05070,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,45",,"92,51",
2,2817764,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49098,https://doi.org/10.15454/YQH6B1,CF05070,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"12,55",,"106,83",
1,2817763,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49098,https://doi.org/10.15454/YQH6B1,CF05070,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,52",,"104,83",
1,2817755,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,79",,"99,54",
2,2817754,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,15",,"95,2",
1,2817753,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,28",,"92,57",
2,2817756,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,04",,"102,85",
1,2817751,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"12,49",,"96,78",
2,2817750,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"11,22",,"90,31",
1,2817749,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"11,23",,"94,48",
2,2817752,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,76",,"97,56",
2,2817730,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49334,https://doi.org/10.15454/YSUZEH,DI06019,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,42",,"93,71",
1,2817729,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49334,https://doi.org/10.15454/YSUZEH,DI06019,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,82",,"93,66",
