observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF05173itkfi,2818358,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,139,,"103,8",,4,,"84,4",,1,
RE05108itkfi,2818364,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,1,,140,,"120,4",,3,,"97,9",,1,
DI06022itkfi,2818372,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49273,gnpis_pui:holding-921_taxon-4898_accession-49273,DI06022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,139,,"97,5",,8,,"79,2",,1,
Folkloritkfi,2818338,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,1,,139,,"119,2",,4,,"96,9",,1,
AO06801itkfi,2818348,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,134,,"107,2",,6,,"87,1",,1,
Orvantisitkfi,2818366,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,6,,136,,"97,5",,4,,"79,2",,1,
RE05041itkfi,2818341,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,145,,"109,9",,4,,"89,3",,1,
DI06024itkfi,2818368,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49274,https://doi.org/10.15454/WL2TYG,DI06024,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,138,,"109,9",,6,,"89,3",,1,
CF05092itkfi,2818342,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48951,gnpis_pui:holding-921_taxon-4898_accession-48951,CF05092,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,3,,143,,"100,5",,3,,"81,7",,2,
AO05002itkfi,2818347,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49364,https://doi.org/10.15454/DWZO1B,AO05002,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,1,,134,,117,,4,,"95,1",,1,
DI06019itkfi,2818359,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49334,https://doi.org/10.15454/YSUZEH,DI06019,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,143,,"109,5",,3,,89,,1,
DI06020itkfi,2818370,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48984,gnpis_pui:holding-921_taxon-4898_accession-48984,DI06020,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,138,,"97,9",,3,,"79,6",,1,
CF05083itkfi,2818343,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48769,gnpis_pui:holding-921_taxon-4898_accession-48769,CF05083,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,4,,142,,96,,6,,78,,1,
