observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI05020-2itkt,2818591,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,"26,7",,145,,88,,NA,,75,,NA,,65,,NA,,228,,NA,,48,,"0,33",,189,,"60,5",,444,,"12,15",,"76,7",,1610,,NA,,38,
DI06007itkt,2818611,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2006,"22,6",,104,,NA,,100,,NA,,"43,5",,NA,,"80,8",,NA,,"224,2",,41,,"0,39",,168,,10,,334,,"14,3",,"76,3",,NA,,1200,,NA,
DI05022itkt,2818555,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2006,"26,7",,145,,91,,NA,,79,,NA,,57,,NA,,227,,NA,,59,,"0,41",,216,,"64,5",,443,,"12,75",,"77,6",,1590,,NA,,41,
Barokitkt,2818554,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2006,25,,127,,97,,NA,,81,,NA,,87,,NA,,265,,NA,,54,,"0,43",,182,,75,,460,,"12,6",,"76,4",,1885,,NA,,35,
EM05055itkt,2818588,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,treated,2006,"26,1",,138,,NA,,100,,NA,,"47,1",,NA,,66,,NA,,"213,1",,31,,"0,22",,141,,8,,337,,"11,3",,"74,2",,NA,,1320,,NA,
CF05173itkt,2818601,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,9",,97,,NA,,100,,NA,,52,,NA,,"80,8",,NA,,"232,8",,69,,"0,71",,267,,13,,361,,13,,"78,5",,NA,,1710,,NA,
EM03332itkt,2818605,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2006,"20,8",,88,,91,,NA,,22,,NA,,94,,NA,,207,,NA,,94,,"1,08",,280,,"70,5",,468,,"12,6",,"77,4",,1750,,NA,,46,
CF05079itkt,2818600,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2006,"19,1",,74,,NA,,94,,NA,,"30,6",,NA,,74,,NA,,"198,6",,112,,"1,51",,351,,87,,395,,13,,"78,7",,NA,,1330,,NA,
CF05091itkt,2818586,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,9",,97,,NA,,97,,NA,,"39,4",,NA,,"79,1",,NA,,"215,5",,115,,"1,18",,387,,82,,457,,"12,4",,"76,7",,NA,,1620,,NA,
DI05014itkt,2818573,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,6",,95,,97,,NA,,77,,NA,,86,,NA,,260,,NA,,55,,"0,59",,195,,16,,366,,"12,3",,"76,1",,1800,,NA,,28,
