observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI05020-2itkt,2819850,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,"54,2",,"128,5",,"11,14",,"71,8",,"98,7",,,,"103,3",,,,1,
DI05020-2itknt,2819849,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"87,5",,,,"129,5",,,,"63,8",,"88,1",,4,,66,,1,,1,
EM04145itkfi,2819818,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,"42,5",,"125,5",,"10,24",,"71,2",,"101,6",,2,,"78,2",,"2,5",,,
Apacheitkt,2819829,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traité,2007,"77,5",,"47,4",,"122,5",,"10,46",,"72,9",,"105,4",,,,"110,4",,,,1,
DI05020-2itkfi,2819848,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"47,1",,128,,"10,02",,"71,2",,"98,6",,3,,"75,9",,1,,,
CF03287itkt,2819862,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,traité,2007,85,,"49,4",,"128,5",,"11,48",,"73,7",,"103,6",,,,"108,5",,,,1,
CF04076itkfi,2819794,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"43,6",,"128,5",,"9,84",,"66,2",,"84,4",,"4,5",,65,,1,,,
RE05074itkt,2819865,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,"50,2",,124,,"11,18",,"68,1",,"97,7",,,,"102,3",,,,1,
CF03287itknt,2819861,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,85,,,,"129,5",,,,"65,3",,"128,8",,"1,5",,"96,5",,1,,1,
DI05022itkt,2819880,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,55,,130,,"11,63",,"71,4",,"100,5",,,,"105,3",,,,1,
Sankaraitknt,2819837,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,85,,,,131,,,,"66,2",,"96,4",,4,,"72,3",,2,,1,
Sankaraitkfi,2819836,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,40,,129,,"10,74",,71,,"95,1",,"3,5",,"73,2",,1,,,
CF03287itkfi,2819860,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"46,7",,126,,"10,1",,"71,6",,"110,9",,2,,"85,4",,1,,,
DI05022itknt,2819879,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"87,5",,,,"130,5",,,,61,,"97,5",,"3,5",,73,,1,,1,
DI05022itkfi,2819878,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"45,8",,129,,"9,83",,"68,4",,"98,9",,"3,5",,"76,2",,1,,,
Soissonsitknt,2819885,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"77,5",,,,121,,,,"66,2",,"99,9",,8,,"74,9",,1,,1,
AO05001itkfi,2819806,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"46,5",,"118,5",,"10,24",,"68,6",,"98,9",,"6,5",,"76,2",,1,,,
Koreliitkfi,2819812,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"43,9",,129,,"10,37",,"71,9",,"97,8",,"2,5",,"75,3",,"2,5",,,
CF04076itkt,2819796,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,"55,2",,130,,"11,4",,"71,3",,"97,4",,,,102,,,,1,
Sankaraitkt,2819838,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,traité,2007,"87,5",,"42,5",,131,,"13,24",,"67,8",,"95,1",,,,"99,6",,,,1,
