observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2824280,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,95",,"64,6",,"48,32",,3,
2,2824161,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,2",,67,,"60,01",,"2,5",
2,2824311,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"14,02",,"75,2",,"84,36",,"6,5",
1,2824310,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"13,43",,"75,8",,"82,9",,1,
2,2824309,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"14,1",,"71,6",,"63,6",,3,
1,2824308,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,88",,"72,8",,"64,53",,1,
1,2824262,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"13,28",,"69,3",,"81,56",,1,
1,2824260,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,55",,"66,8",,"67,83",,2,
2,2824263,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"13,05",,"67,7",,"80,59",,"4,5",
2,2824261,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,17",,"68,4",,"71,2",,"3,5",
2,2824211,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"13,86",,"76,3",,"75,6",,7,
1,2824208,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,61",,"77,5",,"64,68",,2,
1,2824210,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"14,89",,"74,3",,"64,23",,3,
2,2824209,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,62",,"77,5",,"58,87",,6,
2,2824279,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"13,01",,"71,7",,"75,92",,7,
1,2824278,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,38",,"72,6",,"65,6",,1,
2,2824277,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,6",,"71,2",,"62,61",,4,
1,2824276,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,32",,"72,1",,"60,64",,2,
2,2824319,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,81",,"72,7",,"70,63",,"5,5",
1,2824316,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,59",,"73,2",,"61,97",,1,
1,2824318,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,54",,"71,4",,"64,54",,"1,5",
2,2824317,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,72",,"75,1",,"71,93",,4,
2,2824197,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,96",,"72,6",,"66,76",,"5,5",
1,2824198,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"13,37",,"73,5",,"74,72",,"3,5",
1,2824196,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,04",,"73,1",,"67,95",,3,
2,2824199,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,82",,"73,5",,"73,1",,7,
2,2824243,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,17",,68,,"77,12",,"2,5",
1,2824242,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,49",,"67,3",,"72,9",,1,
1,2824240,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,41",,"63,5",,"56,66",,1,
2,2824241,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,96",,"63,7",,"56,7",,2,
1,2824176,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,93",,"70,6",,"58,6",,1,
2,2824177,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,64",,"68,9",,"60,85",,"4,5",
2,2824179,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,99",,69,,67,,4,
1,2824178,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,93",,"68,3",,"69,17",,1,
2,2824267,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,82",,"68,3",,"79,45",,"7,5",
1,2824266,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,91",,"67,6",,"74,63",,1,
2,2824265,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,34",,"69,5",,"74,46",,"4,5",
1,2824264,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,29",,"72,4",,"72,17",,"1,5",
2,2824217,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,12",,"73,5",,"67,93",,"4,5",
2,2824219,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,29",,"72,4",,"76,42",,7,
1,2824218,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,43",,"73,1",,"75,96",,2,
1,2824216,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,95",,"73,7",,"70,86",,"1,5",
2,2824327,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,68",,"73,6",,"87,38",,"4,5",
1,2824326,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,97",,"71,1",,"80,44",,"2,5",
2,2824325,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,51",,"73,7",,"74,99",,3,
1,2824324,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,16",,"72,8",,"72,38",,"1,5",
1,2824298,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"13,02",,"70,8",,"79,66",,"1,5",
2,2824297,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,92",,"69,7",,"67,07",,"5,5",
1,2824296,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,56",,"69,7",,"63,97",,"1,5",
2,2824299,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,85",,"70,3",,"76,27",,"6,5",
2,2824291,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,52",,"72,4",,"74,26",,7,
1,2824290,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,19",,73,,"67,14",,1,
2,2824289,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,63",,"69,8",,"57,74",,5,
