observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI07019,2826513,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,2007,6,,1,,1,
Koreli,2826498,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2007,3,,4,,1,
RE06140,2826514,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,2007,6,,1,,1,
AO07803,2826510,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,2,
DI07016,2826505,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,2007,6,,2,,1,
DI07021,2826490,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
AO07438,2826516,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,2007,4,,1,,8,
AO07403,2826489,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,1,
RE06134,2826492,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,1,
RE06127,2826518,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,3,
RE06109,2826515,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49314,gnpis_pui:holding-921_taxon-4898_accession-49314,RE06109,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
RE06125,2826519,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,48374,gnpis_pui:holding-921_taxon-4898_accession-48374,RE06125,VIRTUAL_TRIAL,,,,,,,,2007,4,,1,,1,
CF06269,2826496,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49569,gnpis_pui:holding-921_taxon-4898_accession-49569,CF06269,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
CF06296,2826525,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,48530,gnpis_pui:holding-921_taxon-4898_accession-48530,CF06296,VIRTUAL_TRIAL,,,,,,,,2007,6,,6,,1,
CF06273,2826529,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49135,gnpis_pui:holding-921_taxon-4898_accession-49135,CF06273,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
CF06235,2826527,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49598,gnpis_pui:holding-921_taxon-4898_accession-49598,CF06235,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,1,
Apache,2826502,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2007,3,,5,,1,
EM06303,2826493,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,48387,gnpis_pui:holding-921_taxon-4898_accession-48387,EM06303,VIRTUAL_TRIAL,,,,,,,,2007,4,,6,,1,
Sankara,2826507,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2007,4,,5,,2,
Caphorn,2826509,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,6,
EM06307,2826523,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,3,
DI07015,2826508,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,2007,6,,2,,1,
CF06277,2826530,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,VIRTUAL_TRIAL,,,,,,,,2007,3,,6,,3,
CF06227,2826500,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,1,
CF06230,2826528,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
RE06139,2826497,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49134,https://doi.org/10.15454/CCJCNN,RE06139,VIRTUAL_TRIAL,,,,,,,,2007,4,,1,,4,
AO07001,2826504,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,48615,gnpis_pui:holding-921_taxon-4898_accession-48615,AO07001,VIRTUAL_TRIAL,,,,,,,,2007,3,,4,,1,
Mendel,2826503,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2007,6,,6,,1,
