observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI06007itkfi,2827712,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"12,25",,"77,3",,"101,4",,"71,7",,1,
RE05047itkt,2827649,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,142,,"11,43",,"78,3",,"102,7",,"86,2",,3,
Flamenkoitkfi,2827680,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,140,,"11,58",,"76,9",,"107,2",,"75,8",,1,
AO07302itkfi,2827650,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,140,,"11,72",,"78,8",,"100,6",,"71,2",,1,
RE05047itkfi,2827648,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"12,54",,"77,6",,96,,"67,9",,1,
Koreliitkfi,2827656,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"12,15",,"81,7",,"107,4",,76,,1,
AO07302itkt,2827651,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,141,,"9,77",,"76,6",,"107,5",,"90,2",,1,
CF05161itkt,2827659,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,141,,"10,82",,"76,5",,"102,7",,"86,1",,1,
Koreliitkt,2827657,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,102,,146,,"11,46",,"80,3",,"109,5",,"91,8",,2,
CF05161itkfi,2827658,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"13,02",,"76,9",,"91,4",,"64,6",,1,
