observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2828831,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"85,56",,1,,"3,5",,"3,5",
2,2828883,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"101,05",,"1,5",,"1,5",,1,
1,2828882,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"93,86",,1,,1,,1,
1,2828798,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"83,31",,1,,"2,5",,1,
2,2828801,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"108,87",,,,,,1,
2,2828799,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"83,72",,"1,5",,"2,5",,1,
1,2828800,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"113,51",,,,,,1,
1,2828736,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"116,18",,,,,,1,
2,2828735,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"64,83",,"6,5",,1,,1,
1,2828734,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"70,93",,"4,5",,1,,1,
2,2828737,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"116,3",,,,,,1,
2,2828819,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"88,4",,1,,"2,5",,"1,5",
2,2828821,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"104,53",,,,,,4,
1,2828820,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"109,2",,,,,,4,
1,2828818,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"72,77",,1,,"1,5",,"3,5",
2,2828777,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"116,04",,,,,,1,
2,2828775,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"95,57",,1,,1,,1,
1,2828776,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"108,71",,,,,,1,
1,2828774,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"93,86",,1,,1,,1,
2,2828879,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"85,37",,"2,5",,1,,1,
1,2828880,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"112,19",,,,,,1,
2,2828881,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"116,31",,,,,,1,
1,2828878,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"87,16",,"2,5",,1,,1,
1,2828866,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"98,23",,1,,2,,"4,5",
1,2828868,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"127,26",,,,,,2,
