observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
2,2832289,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"38,18",,"4,8",
2,2832259,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"41,48",,"4,8",
1,2832258,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"47,11",,"3,5",
2,2832299,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"38,77",,4,
1,2832298,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"39,29",,"3,5",
1,2832260,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49619,gnpis_pui:holding-921_taxon-4898_accession-49619,RE07017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"38,4",,3,
2,2832247,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"37,1",,"4,2",
1,2832246,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"39,14",,3,
2,2832273,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"35,61",,"6,5",
1,2832272,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"40,56",,4,
2,2832311,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"56,08",,"3,8",
1,2832310,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"56,92",,3,
2,2832285,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"37,75",,"6,2",
1,2832284,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"38,77",,4,
2,2832279,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"48,4",,"3,8",
1,2832278,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"44,38",,3,
2,2832281,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"40,66",,"3,2",
1,2832280,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"40,86",,3,
1,2832266,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"45,13",,3,
2,2832267,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"47,96",,4,
2,2832265,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"54,48",,"3,2",
1,2832264,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"54,16",,"2,5",
2,2832283,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"30,94",,7,
1,2832282,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"34,77",,6,
1,2832288,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"40,28",,"4,5",
2,2832257,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"37,54",,"5,2",
1,2832256,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"41,43",,4,
2,2832251,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48617,gnpis_pui:holding-921_taxon-4898_accession-48617,RE07011,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"32,53",,"6,5",
1,2832250,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48617,gnpis_pui:holding-921_taxon-4898_accession-48617,RE07011,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"32,72",,"5,5",
1,2832304,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48879,gnpis_pui:holding-921_taxon-4898_accession-48879,RE07002,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"32,57",,"4,5",
2,2832305,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48879,gnpis_pui:holding-921_taxon-4898_accession-48879,RE07002,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"34,61",,"5,8",
2,2832297,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"40,71",,5,
1,2832296,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"40,71",,4,
1,2832290,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48504,gnpis_pui:holding-921_taxon-4898_accession-48504,DI08004,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"29,84",,"3,5",
2,2832291,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48504,gnpis_pui:holding-921_taxon-4898_accession-48504,DI08004,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"31,5",,"4,2",
1,2832292,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49067,gnpis_pui:holding-921_taxon-4898_accession-49067,DI08005,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"40,61",,3,
2,2832293,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49067,gnpis_pui:holding-921_taxon-4898_accession-49067,DI08005,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"39,78",,5,
2,2832301,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48418,gnpis_pui:holding-921_taxon-4898_accession-48418,RE07006,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"33,57",,"5,8",
1,2832300,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48418,gnpis_pui:holding-921_taxon-4898_accession-48418,RE07006,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"32,61",,4,
2,2832275,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49370,gnpis_pui:holding-921_taxon-4898_accession-49370,CF07037,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"41,53",,"4,8",
1,2832274,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49370,gnpis_pui:holding-921_taxon-4898_accession-49370,CF07037,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"39,97",,4,
2,2832249,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"38,32",,"5,5",
1,2832248,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"39,28",,4,
2,2832315,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27787,https://doi.org/10.15454/SLLTW8,CF07008,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"43,11",,"4,5",
1,2832314,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27787,https://doi.org/10.15454/SLLTW8,CF07008,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"45,24",,3,
1,2832268,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27769,https://doi.org/10.15454/IR0FDN,AO08112,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"36,79",,"3,5",
