observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE07004itknt,2832524,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"82,5",,,,,,"119,7",,1,,"89,2",,1,,"3,5",,1,
DI08004itknt,2832556,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48504,gnpis_pui:holding-921_taxon-4898_accession-48504,DI08004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,85,,,,,,"90,4",,1,,"67,4",,5,,1,,"1,5",
DI08006itkt,2832561,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,146,,"76,5",,"96,4",,,,"107,3",,,,,,4,
CF07022itkt,2832577,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,144,,"75,6",,"112,1",,,,"124,6",,,,,,"1,5",
DI08001itknt,2832550,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"87,5",,,,,,"85,8",,1,,64,,1,,"4,5",,1,
AO08202itkt,2832573,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49578,gnpis_pui:holding-921_taxon-4898_accession-49578,AO08202,VIRTUAL_TRIAL,,,,,,,,treated,2008,70,,134,,"67,2",,"98,6",,,,"109,6",,,,,,"1,5",
RE07025itkt,2832565,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,140,,"74,5",,"96,3",,,,"107,2",,,,,,"1,5",
RE07025itknt,2832564,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"92,5",,,,,,"124,1",,1,,"92,5",,1,,1,,1,
CF07008itkt,2832581,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,141,,"76,6",,"109,9",,,,"122,2",,,,,,"1,5",
CF07008itknt,2832580,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"77,5",,,,,,133,,1,,"99,1",,1,,"1,5",,1,
EM07085itknt,2832514,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,80,,,,,,"108,8",,1,,"81,1",,1,,"1,5",,5,
DI08001itkt,2832551,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,140,,"74,9",,"89,1",,,,"99,1",,,,,,2,
RE07006itkt,2832567,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48418,gnpis_pui:holding-921_taxon-4898_accession-48418,RE07006,VIRTUAL_TRIAL,,,,,,,,treated,2008,78,,136,,"76,5",,"95,1",,,,"105,8",,,,,,"4,5",
AO08202itknt,2832572,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49578,gnpis_pui:holding-921_taxon-4898_accession-49578,AO08202,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,70,,,,,,"60,1",,1,,"44,8",,5,,6,,4,
RE07002itkt,2832571,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48879,gnpis_pui:holding-921_taxon-4898_accession-48879,RE07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,137,,"75,3",,"96,2",,,,107,,,,,,2,
RE07006itknt,2832566,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48418,gnpis_pui:holding-921_taxon-4898_accession-48418,RE07006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"77,5",,,,,,"108,1",,1,,"80,6",,1,,"4,5",,4,
AO08112itkt,2832535,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,140,,73,,"102,2",,,,"113,7",,,,,,"2,5",
EM07186itkt,2832511,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48691,gnpis_pui:holding-921_taxon-4898_accession-48691,EM07186,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,135,,"74,9",,"87,6",,,,"97,5",,,,,,"6,5",
