observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fr(CO_321:1000271),fr(CO_321:1000271).date
DI08019-2,2836066,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2009,7,
HadmF276,2836077,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2009,1,
Koreli,2836074,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2009,1,
CF05173,2836086,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2009,1,
CF05079,2836085,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
AO08112,2836069,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",
CF06136,2836099,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,2009,2,
CF05162,2836073,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2009,1,
CF03201,2836082,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2009,NA,
AO07210,2836094,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
AO07302,2836091,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,2009,1,
AO08107,2836088,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
RE06134,2836068,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
Hendrix,2836061,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
Folklor,2836063,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2009,1,
RE06060,2836093,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,2009,2,
RE06127,2836084,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",
Premio,2836070,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2009,"7,5",
DI08019-3,2836065,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,2009,7,
Apache,2836076,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2009,3,
Skerzzo,2836090,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2009,3,
Sankara,2836078,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
Toisondor,2836062,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2009,1,
Flamenko,2836083,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",
Lyrik,2836098,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2009,"6,5",
Musik,2836067,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",
Karillon,2836095,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2009,3,
Ghayta,2836089,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
Caphorn,2836080,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2009,2,
EM06307,2836071,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,2009,1,
RE06048,2836092,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,2009,1,
DI02001,2836079,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,2009,NA,
Soissons,2836096,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2009,"6,5",
AO07127,2836081,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,2009,1,
EM06017,2836064,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
EM06233,2836100,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
EM06229,2836075,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,2009,1,
EM06110,2836097,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,2009,2,
EM06094,2836087,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
DI07001-2,2836072,BTH_Chaux_des_Prés_2009_SetA1,BTH_Chaux_des_Prés_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,2009,"1,5",
