observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF08046itkfi,2841015,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61180,https://doi.org/10.15454/VI9G7X,CF08046,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"53,4",,138,,"10,5",,"74,6",,"103,3",,"61,4",
CF08046itkt,2841016,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61180,https://doi.org/10.15454/VI9G7X,CF08046,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"53,7",,139,,"10,08",,"76,7",,"93,6",,"85,6",
DI09008itkfi,2840995,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61571,https://doi.org/10.15454/UJ9SJR,DI09008,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"40,6",,146,,"8,88",,"63,5",,"87,2",,"51,8",
CF08049itkfi,2841013,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,47,,145,,"9,17",,71,,"101,6",,"60,4",
DI09008itkt,2840996,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61571,https://doi.org/10.15454/UJ9SJR,DI09008,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"45,2",,144,,"9,5",,"69,2",,"93,3",,"85,2",
CF08057itkfi,2840965,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61224,https://doi.org/10.15454/DSRGNF,CF08057,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"43,7",,144,,"9,28",,"69,9",,"96,3",,"57,3",
RE08008itkfi,2841007,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62083,https://doi.org/10.15454/PJSXXF,RE08008,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,45,,146,,9,,"74,4",,"105,3",,"62,6",
CF08057itkt,2840966,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61224,https://doi.org/10.15454/DSRGNF,CF08057,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"46,8",,143,,"8,95",,"74,9",,"99,2",,"90,6",
DI09005itkt,2840978,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"50,2",,143,,"9,78",,"72,9",,"94,6",,"86,5",
EM08002itkfi,2840947,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61820,https://doi.org/10.15454/KU11PU,EM08002,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"56,1",,140,,"10,11",,"69,3",,"105,3",,"62,6",
EM08002itkt,2840948,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61820,https://doi.org/10.15454/KU11PU,EM08002,VIRTUAL_TRIAL,,,,,,,,treated,2009,75,,"56,2",,139,,"9,9",,73,,"101,1",,"92,4",
DI09001itkt,2841000,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61445,https://doi.org/10.15454/KZBXKW,DI09001,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"45,3",,147,,"8,73",,"72,8",,"98,6",,"90,2",
