observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkt,2844286,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2009,"19,3",,76,,100,,71,,80,,251,,89,,"1,19",,259,,53,,390,,"11,6",,NA,,1575,,43,
DI08011itkt,2844285,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,2009,"24,2",,119,,94,,51,,79,,224,,81,,"0,69",,312,,47,,409,,"12,7",,NA,,1638,,48,
HadmF276itkt,2844302,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2009,"20,2",,83,,100,,75,,95,,270,,76,,"0,93",,220,,72,,402,,12,,NA,,1538,,41,
CF08127itkt,2844316,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,2009,"29,3",,174,,100,,68,,82,,250,,34,,"0,2",,176,,21,,NA,,"11,9",,"77,7",,1835,,NA,
CF07097itkt,2844297,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,2009,"20,8",,88,,94,,46,,86,,226,,89,,"1,02",,269,,26,,395,,13,,NA,,1580,,31,
CF08139itkt,2844300,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,2009,"22,1",,99,,100,,85,,96,,281,,97,,"0,97",,331,,81,,NA,,"12,3",,"76,2",,1710,,NA,
AO09007itkt,2844287,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27776,https://doi.org/10.15454/4JXOGF,AO09007,VIRTUAL_TRIAL,,,,,,,,2009,"18,4",,69,,100,,78,,90,,268,,91,,"1,34",,208,,58,,415,,"12,8",,NA,,1623,,43,
DI09015itkt,2844289,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,2009,21,,90,,88,,30,,71,,189,,94,,"1,05",,300,,61,,NA,,"12,7",,"74,7",,1220,,NA,
DI09017itkt,2844329,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,2009,"20,2",,83,,97,,55,,86,,238,,109,,"1,31",,321,,58,,NA,,"11,7",,"75,9",,1490,,NA,
DI09004itkt,2844306,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,2009,"24,1",,118,,94,,66,,90,,250,,56,,"0,48",,174,,26,,NA,,"10,6",,"76,4",,1625,,NA,
