observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Ressoritknt,2763100,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,,,,,,,"118,4",,"91,6",,6,
Ressoritkfi,2763099,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,,,,,"9,3",,117,,"82,8",,,
CF9825itknt,2763037,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,,,,,,,"105,2",,"81,4",,8,
EM99012itknt,2763145,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,,,,,,,"126,5",,"97,8",,5,
Ressoritkt,2763101,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,136,,"9,5",,"95,9",,"107,2",,,
RE99004itkt,2763068,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,137,,"9,5",,"97,6",,"109,1",,,
RE99004itkfi,2763066,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,,,,,"9,8",,"108,4",,"76,8",,,
CF99005itkt,2763113,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,133,,"8,6",,"106,3",,"118,8",,,
EM99027itkfi,2763051,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,26866,https://doi.org/10.15454/OANUO1,EM99027,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,,,,,"9,5",,120,,"84,9",,,
EM99012itkt,2763146,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,141,,"10,2",,98,,"109,6",,,
EM99012itkfi,2763144,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,,,,,"10,1",,"131,5",,"93,1",,,
EM99001itkt,2763089,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,142,,"9,4",,"100,3",,"112,2",,,
CF99005itkfi,2763111,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,,,,,9,,"118,5",,"83,9",,,
CF99005itknt,2763112,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,,,,,,,"117,7",,"91,1",,8,
EM99017itkt,2763152,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2000,105,,135,,10,,"113,6",,127,,,
EM99001itknt,2763088,BTH_Le_Moulon_2000_SetA,BTH_Le_Moulon_2000_SetA,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,,,,,,,"113,1",,"87,5",,5,
