observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itkt,2846112,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,91,,48,,144,,"9,09",,"79,4",,"113,4",,"90,3",
DI08019-2itkfi,2846111,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,86,,"46,8",,144,,"8,56",,79,,"117,2",,"74,7",
Caphornitkt,2846146,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,90,,51,,143,,"9,72",,"77,6",,"92,9",,74,
AO10004itkt,2846148,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,"45,6",,145,,"8,68",,"80,6",,"106,5",,"84,8",
Folkloritkfi,2846105,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"2,5",,95,,"52,1",,144,,"8,72",,"76,9",,"112,5",,"71,7",
Bermudeitkfi,2846113,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"3,5",,86,,"49,4",,144,,"8,14",,"78,9",,99,,"63,1",
HadmF11383itkt,2846122,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,96,,"49,9",,144,,"8,82",,"79,5",,110,,"87,6",
HadmF11383itkfi,2846121,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,92,,"47,6",,144,,"8,93",,77,,"109,4",,"69,7",
DI08011itkfi,2846109,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"2,5",,79,,"49,6",,142,,"9,45",,77,,98,,"62,4",
DI08011itkt,2846110,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,85,,"49,2",,142,,"9,96",,"77,8",,"102,7",,"81,8",
AO10003itkfi,2846141,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,86,,"49,7",,144,,"8,54",,"78,4",,102,,65,
