observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkfi,2846687,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"50,9",,142,,"10,02",,"83,2",,"112,2",,1,,"94,6",,1,,,,1,
Folkloritknt,2846679,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,95,,1,,"54,3",,144,,,,"82,2",,"104,3",,1,,"107,8",,1,,2,,1,
DI08019-2itknt,2846688,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,1,,50,,142,,,,"83,4",,"107,6",,1,,"111,3",,1,,"1,5",,1,
DI08019-2itkt,2846689,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,85,,,,"49,2",,144,,"10,64",,83,,"108,8",,,,"121,8",,,,,,1,
Caphornitknt,2846739,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,85,,1,,"50,5",,141,,,,"82,9",,"94,2",,1,,"97,3",,1,,"3,5",,1,
Caphornitkfi,2846738,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,,,"49,1",,142,,"10,9",,"82,7",,"86,6",,1,,73,,1,,,,1,
AO10004itkt,2846743,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,"43,5",,146,,"10,84",,"84,8",,"104,8",,,,"117,3",,,,,,1,
Folkloritkfi,2846678,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,,,"53,9",,143,,"9,84",,"81,2",,"103,4",,1,,"87,1",,1,,,,1,
HadmF11383itkfi,2846702,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,,,"49,8",,144,,"9,5",,"82,6",,"105,6",,1,,"88,9",,1,,,,1,
Lyrikitkfi,2846780,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"51,6",,142,,"9,54",,83,,"105,5",,1,,"88,9",,1,,,,1,
