observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Barokitkt,2847202,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,79,,144,,"10,15",,80,,"99,9",,,,"89,7",,,
Barokitkfi,2847201,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,79,,144,,"9,89",,"79,4",,"105,2",,"2,5",,"55,96",,2,
DI09005itkfi,2847229,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,145,,"10,92",,"77,6",,"95,9",,"2,5",,"51,05",,4,
CF08127itkfi,2847253,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,146,,"10,09",,"80,3",,"96,8",,"1,5",,"51,5",,"1,5",
CF08127itkt,2847254,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,treated,2010,90,,146,,"10,52",,"80,3",,"102,3",,,,"91,9",,,
CF08084itkfi,2847247,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,77,,146,,"9,48",,"79,8",,"104,5",,"2,5",,"55,61",,3,
CF08137itkfi,2847217,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,76,,144,,"10,23",,"81,2",,"98,5",,"2,5",,"52,4",,"2,5",
CF08029itkfi,2847261,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,138,,"10,72",,"77,9",,"99,9",,"2,5",,"53,17",,"3,5",
Attlassitkfi,2847251,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,144,,"9,12",,"80,6",,"112,4",,"1,5",,"59,79",,"2,5",
CF08139itkfi,2847203,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,146,,"9,68",,"79,2",,"89,4",,"1,5",,"47,55",,"5,5",
CF08029itkt,2847262,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,138,,"11,34",,81,,"94,4",,,,"84,8",,,
Skerzzoitkfi,2847255,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,144,,"11,52",,"82,2",,92,,2,,"48,93",,3,
Skerzzoitkt,2847256,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2010,90,,145,,"11,49",,"82,1",,"99,2",,,,"89,1",,,
CF08139itkt,2847204,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,146,,"9,9",,"79,3",,"94,9",,,,"85,2",,,
EM08221itkt,2847216,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,149,,"10,36",,"74,1",,"102,3",,,,"91,9",,,
DI09015itkt,2847258,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,83,,147,,"9,87",,"79,7",,"103,7",,,,"93,1",,,
DI09015itkfi,2847257,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,148,,"9,16",,80,,"118,7",,1,,"63,16",,3,
AO10006itkt,2847214,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,146,,"10,68",,"81,6",,"102,3",,,,"91,8",,,
CF08021itkt,2847244,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,144,,"11,31",,"82,6",,"94,7",,,,85,,,
CF08027itkt,2847276,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2010,83,,148,,"10,07",,"78,2",,"101,9",,,,"91,5",,,
CF08137itkt,2847218,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,144,,"10,72",,"80,5",,"94,6",,,,"84,9",,,
DI09017itkt,2847270,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,142,,"10,48",,"79,4",,"99,8",,,,"89,6",,,
CF08021itkfi,2847243,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,144,,"10,39",,"77,9",,"91,9",,3,,"48,88",,4,
Hadm01601-07itkt,2847222,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,142,,"10,54",,"77,3",,"105,5",,,,"94,7",,,
EM08223itkfi,2847219,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,144,,"10,42",,76,,"92,4",,1,,"49,15",,"2,5",
CF08027itkfi,2847275,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,148,,"9,64",,"81,7",,"98,9",,2,,"52,61",,"1,5",
DI09017itkfi,2847269,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,141,,"10,14",,"79,8",,"95,4",,2,,"50,76",,5,
DI09004itkfi,2847231,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,83,,144,,"11,24",,"78,1",,100,,1,,"53,18",,"6,5",
AO10006itkfi,2847213,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,83,,145,,"9,36",,"78,4",,"111,5",,4,,"59,3",,2,
Croustyitkt,2847242,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2010,92,,144,,"11,07",,"81,4",,"92,3",,,,"82,9",,,
DI09004itkt,2847232,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,treated,2010,85,,144,,"10,98",,"77,1",,"96,8",,,,87,,,
CF08109itkt,2847264,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,144,,"11,16",,"77,8",,96,,,,"86,2",,,
Croustyitkfi,2847241,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,144,,"10,55",,"79,3",,"92,5",,"2,5",,"49,23",,"5,5",
AO09014itkfi,2847209,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,76,,144,,"10,28",,"81,5",,100,,"1,5",,"53,21",,5,
EM08223itkt,2847220,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,144,,"11,24",,"76,8",,"87,4",,,,"78,5",,,
AO09014itkt,2847210,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,144,,"10,77",,"81,8",,"94,3",,,,"84,6",,,
Hadm01601-07itkfi,2847221,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,74,,142,,"10,03",,"78,2",,"99,5",,1,,"52,96",,6,
Caphornitkfi,2847233,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,142,,"10,58",,"78,1",,"100,1",,2,,"53,24",,6,
CF08109itkfi,2847263,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,144,,"10,97",,"79,5",,"91,9",,2,,"48,9",,6,
HadmF11671itkt,2847246,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,144,,"10,56",,"81,2",,99,,,,"88,9",,,
DI09006itkt,2847228,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,147,,"9,86",,"78,4",,"110,2",,,,99,,,
DI09018itkt,2847260,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,146,,"9,7",,"80,8",,"105,5",,,,"94,7",,,
HadmF11671itkfi,2847245,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,83,,144,,"8,77",,"81,4",,"110,9",,2,,59,,3,
DI09006itkfi,2847227,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,148,,9,,"78,9",,"127,3",,"2,5",,"67,75",,2,
Caphornitkt,2847234,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,142,,"11,28",,"78,5",,"93,2",,,,"83,7",,,
RE08030itkfi,2847237,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,145,,"10,6",,"82,2",,"90,1",,"1,5",,"47,94",,2,
AO10007itkt,2847236,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,79,,138,,"11,06",,"77,3",,100,,,,"89,8",,,
RE08030itkt,2847238,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,145,,"11,26",,"82,1",,"92,8",,,,"83,4",,,
EM08221itkfi,2847215,BTH_Dijon_2010_SetA2,BTH_Dijon_2010_SetA2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,74,,148,,"8,82",,"73,9",,"113,2",,1,,"60,23",,2,
