observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2848974,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"92,44",
2,2848976,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49594,https://doi.org/10.15454/UY7D21,EM09015,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"91,05",
1,2848975,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49594,https://doi.org/10.15454/UY7D21,EM09015,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"98,07",
2,2848988,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"79,91",
2,2849032,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49444,gnpis_pui:holding-921_taxon-4898_accession-49444,CF09081,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,78,
2,2849020,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"84,5",
1,2849019,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"88,89",
2,2849028,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"84,73",
1,2849027,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"91,09",
2,2849000,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"74,37",
1,2848999,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"86,91",
2,2849018,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49125,https://doi.org/10.15454/CTNPK9,AO10011,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"89,01",
1,2849017,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49125,https://doi.org/10.15454/CTNPK9,AO10011,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"87,29",
2,2848978,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48839,https://doi.org/10.15454/PBJK68,AO10013,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"83,86",
1,2848977,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48839,https://doi.org/10.15454/PBJK68,AO10013,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"97,9",
2,2849022,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48507,https://doi.org/10.15454/YFD4LO,CF09027,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"84,91",
1,2849021,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48507,https://doi.org/10.15454/YFD4LO,CF09027,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"80,88",
1,2849023,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49303,https://doi.org/10.15454/WSDK5P,EM09080,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"94,59",
2,2849024,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49303,https://doi.org/10.15454/WSDK5P,EM09080,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"94,62",
1,2849033,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49252,https://doi.org/10.15454/LVMRPV,EM09189,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"86,3",
2,2849034,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49252,https://doi.org/10.15454/LVMRPV,EM09189,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"83,12",
2,2849006,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48519,https://doi.org/10.15454/R0LHUG,RE09029,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"80,81",
1,2849005,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48519,https://doi.org/10.15454/R0LHUG,RE09029,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"78,09",
1,2848973,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"85,52",
2,2849036,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"87,28",
1,2849035,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"84,53",
1,2849009,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48505,gnpis_pui:holding-921_taxon-4898_accession-48505,DI10003,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"84,53",
2,2849010,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48505,gnpis_pui:holding-921_taxon-4898_accession-48505,DI10003,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"89,75",
1,2848985,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48622,gnpis_pui:holding-921_taxon-4898_accession-48622,RE09032,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"81,58",
2,2848986,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48622,gnpis_pui:holding-921_taxon-4898_accession-48622,RE09032,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"80,21",
2,2848958,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48383,https://doi.org/10.15454/IDYNPA,AO10015,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"82,5",
1,2848957,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48383,https://doi.org/10.15454/IDYNPA,AO10015,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"86,84",
2,2848994,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48642,gnpis_pui:holding-921_taxon-4898_accession-48642,CF09075,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"69,62",
1,2848993,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48642,gnpis_pui:holding-921_taxon-4898_accession-48642,CF09075,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"69,92",
2,2849016,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49387,gnpis_pui:holding-921_taxon-4898_accession-49387,DI10004,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"88,16",
1,2849015,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49387,gnpis_pui:holding-921_taxon-4898_accession-49387,DI10004,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"90,76",
2,2848960,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"77,27",
1,2848959,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"79,46",
2,2849014,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49716,gnpis_pui:holding-921_taxon-4898_accession-49716,DI10005,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"83,52",
