observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI10015itkfi,2852208,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,144,,"72,8",,107,,"60,4",
EM08147itkfi,2852211,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49183,gnpis_pui:holding-921_taxon-4898_accession-49183,EM08147,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,146,,"76,4",,"121,4",,"68,5",
Koreliitkfi,2852213,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,145,,"81,4",,"110,5",,"62,3",
CF09257itkfi,2852231,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48873,gnpis_pui:holding-921_taxon-4898_accession-48873,CF09257,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,141,,"78,4",,"93,1",,"52,5",
DI10016itkfi,2852198,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49397,gnpis_pui:holding-921_taxon-4898_accession-49397,DI10016,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,142,,"76,6",,91,,"51,3",
Barokitkfi,2852197,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,143,,"78,3",,115,,"64,9",
Bermudeitkfi,2852209,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,144,,"78,1",,"95,2",,"53,7",
CF09225itkfi,2852233,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,87,,145,,79,,"101,3",,"57,1",
EM08012itkfi,2852224,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49328,gnpis_pui:holding-921_taxon-4898_accession-49328,EM08012,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,96,,145,,"76,4",,"99,6",,"56,2",
Caphornitkfi,2852221,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,142,,"76,6",,"96,5",,"54,4",
