observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Ressoritkt,2763857,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2000,"87,5",,1,,141,,"10,4",,"100,2",,1,,"98,2",,1,,2,,"4,5",
CF9825itkfi,2763792,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,86,,1,,141,,"9,3",,"106,2",,6,,"59,5",,1,,,,1,
EM99012itkt,2763902,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2000,91,,1,,146,,"10,9",,"102,7",,1,,"100,7",,2,,3,,1,
EM99012itknt,2763901,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,94,,3,,146,,,,"160,7",,1,,"84,9",,4,,3,,1,
CF99007itkt,2763872,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28758,https://doi.org/10.15454/XSWWAH,CF99007,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,3,,134,,10,,"69,8",,"3,5",,"68,5",,2,,3,,3,
Ressoritkfi,2763855,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,2,,139,,"10,3",,"137,7",,1,,"77,1",,6,,,,"1,5",
RE99018itkt,2763905,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28769,https://doi.org/10.15454/4XEWEU,RE99018,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,2,,135,,"10,6",,"100,8",,1,,"98,9",,1,,3,,1,
EM99012itkfi,2763900,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,3,,141,,11,,"143,1",,1,,"80,2",,5,,,,1,
EM99017itkt,2763908,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,2,,139,,"10,3",,"99,8",,"1,5",,"97,8",,1,,3,,"3,5",
CF99005itkfi,2763867,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"90,5",,3,,133,,10,,"103,6",,7,,58,,3,,,,3,
EM99001itkt,2763845,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,treated,2000,92,,1,,144,,"10,5",,102,,1,,100,,1,,2,,1,
CF99005itknt,2763868,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"83,5",,3,,134,,,,"92,4",,3,,"48,8",,3,,8,,6,
EM99001itkfi,2763843,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,6,,144,,"10,4",,"115,6",,1,,"64,7",,3,,,,"1,5",
EM99017itkfi,2763906,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"102,5",,3,,137,,"10,2",,135,,4,,"75,6",,1,,,,2,
RE99018itkfi,2763903,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28769,https://doi.org/10.15454/4XEWEU,RE99018,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,3,,134,,"10,5",,"126,7",,1,,"70,9",,7,,,,1,
CF99005itkt,2763869,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2000,"83,5",,2,,134,,"9,6",,102,,4,,100,,2,,4,,"4,5",
CF99002itknt,2763862,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26853,https://doi.org/10.15454/XX9UWD,CF99002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"78,5",,1,,134,,,,70,,4,,37,,1,,5,,4,
CF99007itkfi,2763870,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28758,https://doi.org/10.15454/XSWWAH,CF99007,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,3,,134,,"9,7",,"77,5",,3,,"43,4",,7,,,,"1,5",
RE99009itkfi,2763888,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,80,,2,,147,,"10,1",,105,,1,,"58,8",,7,,,,1,
EM99001itknt,2763844,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,95,,6,,144,,,,"124,1",,1,,"65,5",,3,,6,,1,
CF99002itkfi,2763861,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26853,https://doi.org/10.15454/XX9UWD,CF99002,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"87,5",,2,,133,,"10,5",,"79,5",,1,,"44,5",,1,,,,4,
RE99009itkt,2763890,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2000,"82,5",,1,,148,,"9,9",,"104,1",,1,,102,,2,,2,,1,
RE99009itknt,2763889,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,80,,3,,148,,,,111,,1,,"58,6",,7,,5,,1,
RE99018itknt,2763904,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28769,https://doi.org/10.15454/4XEWEU,RE99018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,84,,3,,135,,,,"113,9",,2,,"60,1",,8,,5,,1,
CF99003itkfi,2763864,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26854,https://doi.org/10.15454/PMWJQG,CF99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"87,5",,5,,132,,"10,2",,"114,8",,3,,"64,3",,3,,,,3,
EM99017itknt,2763907,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"97,5",,6,,139,,,,"134,7",,3,,"71,1",,1,,6,,"5,5",
AO99001itkt,2763818,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48603,gnpis_pui:holding-921_taxon-4898_accession-48603,AO99001,VIRTUAL_TRIAL,,,,,,,,treated,2000,96,,2,,147,,"9,4",,"99,8",,4,,"97,9",,1,,2,,2,
EM99021itkt,2763812,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28765,https://doi.org/10.15454/KZAYH5,EM99021,VIRTUAL_TRIAL,,,,,,,,treated,2000,"88,5",,1,,139,,"11,1",,"100,9",,"2,5",,"98,9",,1,,3,,2,
HA1070.50itkfi,2763786,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48987,gnpis_pui:holding-921_taxon-4898_accession-48987,HA1070.50,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"107,5",,6,,144,,"10,3",,140,,3,,"78,4",,4,,,,"1,5",
RE99006itkt,2763827,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26013,https://doi.org/10.15454/U6CDMK,RE99006,VIRTUAL_TRIAL,,,,,,,,treated,2000,91,,1,,143,,"11,2",,"102,9",,"3,5",,"100,8",,1,,3,,1,
RE99006itkfi,2763825,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26013,https://doi.org/10.15454/U6CDMK,RE99006,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,1,,140,,"11,2",,"124,3",,7,,"69,6",,1,,,,1,
EM99021itknt,2763811,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28765,https://doi.org/10.15454/KZAYH5,EM99021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,85,,1,,139,,,,"106,3",,6,,"56,1",,4,,8,,"1,5",
RE99006itknt,2763826,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26013,https://doi.org/10.15454/U6CDMK,RE99006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,96,,1,,143,,,,"120,4",,8,,"63,6",,1,,6,,1,
CF99003itknt,2763865,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26854,https://doi.org/10.15454/PMWJQG,CF99003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,86,,6,,132,,,,"126,4",,4,,"66,7",,3,,8,,3,
CF99003itkt,2763866,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26854,https://doi.org/10.15454/PMWJQG,CF99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,2,,132,,"9,9",,"109,7",,"1,5",,"107,6",,1,,4,,5,
HA1066.146itknt,2763784,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48543,gnpis_pui:holding-921_taxon-4898_accession-48543,HA1066.146,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,100,,4,,144,,,,"125,9",,5,,"66,5",,6,,8,,"2,5",
CF99009itkfi,2763876,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25944,https://doi.org/10.15454/ADC7UQ,CF99009,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"97,5",,6,,139,,"10,7",,"77,4",,5,,"43,3",,3,,,,"1,5",
CF99016itkt,2763800,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26855,https://doi.org/10.15454/ZNHLL2,CF99016,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,1,,141,,"10,8",,"90,6",,"1,5",,"88,8",,3,,3,,2,
CF99016itknt,2763799,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26855,https://doi.org/10.15454/ZNHLL2,CF99016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,85,,3,,141,,,,"75,5",,1,,"39,9",,8,,4,,1,
CF99009itkt,2763878,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25944,https://doi.org/10.15454/ADC7UQ,CF99009,VIRTUAL_TRIAL,,,,,,,,treated,2000,"93,5",,2,,144,,"9,6",,"99,2",,"2,5",,"97,2",,2,,3,,2,
CF99009itknt,2763877,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25944,https://doi.org/10.15454/ADC7UQ,CF99009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"96,5",,4,,144,,,,97,,5,,"51,2",,2,,8,,2,
CF99002itkt,2763863,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26853,https://doi.org/10.15454/XX9UWD,CF99002,VIRTUAL_TRIAL,,,,,,,,treated,2000,80,,1,,134,,"9,5",,"92,4",,1,,"90,6",,1,,4,,5,
AO99001itknt,2763817,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48603,gnpis_pui:holding-921_taxon-4898_accession-48603,AO99001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"98,5",,3,,147,,,,87,,8,,"45,9",,4,,3,,1,
CF99031itknt,2763805,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,100,,3,,148,,,,"132,5",,6,,70,,5,,3,,1,
CF99016itkfi,2763798,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26855,https://doi.org/10.15454/ZNHLL2,CF99016,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,1,,140,,"11,1",,"79,7",,1,,"44,6",,7,,,,1,
CF99027itkfi,2763879,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25943,https://doi.org/10.15454/B8ORWB,CF99027,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,94,,3,,137,,"10,9",,"78,9",,1,,"44,2",,6,,,,1,
EM99021itkfi,2763810,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28765,https://doi.org/10.15454/KZAYH5,EM99021,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"95,5",,1,,139,,"10,1",,"115,4",,5,,"64,6",,2,,,,"1,5",
CF99031itkfi,2763804,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"102,5",,1,,144,,"10,1",,"123,9",,7,,"69,4",,5,,,,1,
EM99003itkfi,2763837,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,6,,144,,"10,7",,"111,6",,1,,"62,5",,5,,,,1,
CF99031itkt,2763806,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,treated,2000,"97,5",,1,,148,,"11,2",,97,,"1,5",,"95,1",,3,,2,,3,
DI9812itkfi,2763849,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,1,,144,,"9,8",,"123,7",,1,,"69,3",,1,,,,1,
CF9804itkt,2763791,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25942,https://doi.org/10.15454/J28WOV,CF9804,VIRTUAL_TRIAL,,,,,,,,treated,2000,80,,2,,135,,"9,9",,111,,1,,"108,9",,3,,3,,1,
CF9804itkfi,2763789,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25942,https://doi.org/10.15454/J28WOV,CF9804,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"78,5",,3,,135,,11,,"52,7",,1,,"29,5",,9,,,,1,
CF99027itknt,2763880,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25943,https://doi.org/10.15454/B8ORWB,CF99027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,90,,3,,140,,,,89,,1,,47,,8,,4,,1,
DI9812itkt,2763851,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,treated,2000,"88,5",,1,,144,,"10,3",,"105,5",,1,,"103,5",,1,,3,,1,
CF9804itknt,2763790,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25942,https://doi.org/10.15454/J28WOV,CF9804,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"77,5",,3,,135,,,,"47,1",,1,,"24,9",,9,,3,,1,
DI9714itkt,2763803,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,1,,147,,"10,5",,"96,5",,"3,5",,"94,6",,3,,4,,1,
DI9714itknt,2763802,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,97,,1,,147,,,,"146,4",,1,,"77,3",,6,,3,,1,
DI9714itkfi,2763801,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"98,5",,2,,144,,"10,2",,"132,8",,1,,"74,4",,6,,,,1,
AO99001itkfi,2763816,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48603,gnpis_pui:holding-921_taxon-4898_accession-48603,AO99001,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"97,5",,3,,144,,"9,2",,"89,2",,9,,"49,9",,4,,,,1,
DI9812itknt,2763850,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,90,,2,,144,,,,"142,5",,1,,"75,2",,3,,6,,1,
EM99003itknt,2763838,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"88,5",,1,,144,,,,"132,1",,1,,"69,7",,4,,5,,1,
RE99002itknt,2763832,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26872,https://doi.org/10.15454/WHVEKL,RE99002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,85,,1,,141,,,,"153,1",,1,,"80,8",,4,,4,,1,
CF99027itkt,2763881,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25943,https://doi.org/10.15454/B8ORWB,CF99027,VIRTUAL_TRIAL,,,,,,,,treated,2000,"92,5",,2,,140,,"10,2",,"98,4",,"1,5",,"96,5",,2,,2,,1,
RE99017itkt,2763893,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2000,"92,5",,1,,146,,10,,"87,3",,1,,"85,6",,2,,2,,"4,5",
RE99017itknt,2763892,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"88,5",,3,,146,,,,"147,6",,1,,78,,4,,3,,"3,5",
EM99006itkt,2763848,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,1,,141,,"10,3",,"107,8",,1,,"105,7",,1,,3,,1,
EM99006itknt,2763847,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"88,5",,2,,141,,,,"136,4",,1,,72,,4,,3,,1,
RE99002itkt,2763833,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26872,https://doi.org/10.15454/WHVEKL,RE99002,VIRTUAL_TRIAL,,,,,,,,treated,2000,"83,5",,1,,141,,"10,3",,"101,8",,"1,5",,"99,8",,1,,3,,1,
RE99002itkfi,2763831,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26872,https://doi.org/10.15454/WHVEKL,RE99002,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,1,,140,,"10,2",,"131,6",,1,,"73,7",,3,,,,1,
EM99006itkfi,2763846,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"88,5",,1,,140,,"10,4",,"129,8",,1,,"72,7",,4,,,,1,
EM99003itkt,2763839,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,1,,144,,"10,7",,"103,2",,1,,"101,2",,3,,2,,2,
Soissonsitknt,2763895,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"77,5",,2,,133,,,,"94,6",,8,,50,,1,,4,,2,
RE99007itkt,2763830,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26014,https://doi.org/10.15454/B7I9IU,RE99007,VIRTUAL_TRIAL,,,,,,,,treated,2000,"93,5",,1,,141,,"10,2",,"104,5",,"1,5",,"102,5",,1,,3,,1,
