observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkt,2852788,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,7",,79,,94,,55,,79,,228,,82,,"1,05",,234,,59,,395,,"11,5",,NA,,1588,,46,
EM09015itkt,2852817,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"26,7",,144,,94,,61,,86,,241,,30,,"0,21",,100,,70,,NA,,12,,"80,5",,1850,,NA,
HadmF11383itkt,2852793,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,1",,59,,94,,80,,78,,252,,83,,"1,41",,191,,77,,337,,"11,7",,NA,,1750,,"32,5",
DI10006itkt,2852808,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,5",,69,,91,,71,,79,,241,,83,,"1,2",,214,,93,,NA,,"11,3",,"79,4",,1753,,NA,
DI10007itkt,2852841,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,6",,103,,82,,41,,58,,181,,77,,"0,75",,163,,80,,NA,,"11,1",,"80,2",,1298,,NA,
DI10015itkt,2852787,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,1",,127,,91,,47,,83,,221,,34,,"0,27",,107,,5,,NA,,"11,4",,"76,1",,1693,,NA,
RE09055itkt,2852814,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2010,"26,9",,146,,91,,82,,84,,257,,38,,"0,26",,155,,20,,NA,,"11,9",,"73,5",,1805,,NA,
Hadm01221-04itkt,2852805,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,6",,95,,94,,54,,93,,241,,69,,"0,73",,187,,68,,423,,"11,1",,NA,,1800,,38,
HadmF276itkt,2852779,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2010,19,,73,,100,,"79,9",,80,,"259,9",,68,,"0,93",,179,,"75,5",,410,,"11,4",,NA,,1619,,32,
Barokitkt,2852775,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,25,,127,,94,,71,,62,,227,,41,,"0,33",,138,,65,,416,,"11,3",,NA,,1725,,30,
CF09182itkt,2852800,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,5",,111,,88,,74,,91,,253,,49,,"0,44",,186,,82,,NA,,"11,3",,"79,3",,1795,,NA,
CF09117itkt,2852836,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2010,"29,9",,181,,88,,75,,88,,251,,63,,"0,35",,341,,67,,NA,,"12,8",,"80,2",,1903,,NA,
CF09225itkt,2852830,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,6",,94,,88,,72,,86,,246,,55,,"0,59",,181,,92,,NA,,"11,5",,"81,1",,1733,,NA,
CF09227itkt,2852842,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2010,"26,1",,137,,91,,73,,87,,251,,62,,"0,45",,275,,79,,NA,,"11,5",,"80,6",,1630,,NA,
CF09176itkt,2852820,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,1",,127,,94,,59,,93,,246,,50,,"0,39",,197,,69,,NA,,"11,5",,79,,1783,,NA,
CF09276itkt,2852799,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,2",,60,,94,,67,,90,,251,,99,,"1,65",,243,,82,,NA,,"12,7",,"79,2",,1900,,NA,
EM08231itkt,2852786,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2010,22,,98,,91,,55,,69,,215,,62,,"0,63",,202,,15,,NA,,"11,2",,"77,8",,1770,,NA,
DI09006itkt,2852806,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,1",,118,,91,,36,,61,,188,,40,,"0,34",,134,,17,,365,,"11,8",,NA,,1580,,"21,5",
RE07019itkt,2852789,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,8",,64,,91,,14,,61,,166,,73,,"1,14",,196,,61,,390,,"11,6",,NA,,1358,,"32,5",
Folkloritkt,2852785,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,5",,62,,97,,"35,9",,76,,"208,9",,90,,"1,45",,224,,"61,5",,378,,"11,8",,NA,,1595,,40,
