observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkfi,2854427,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,2,,136,,"9,91",,"79,1",,"100,2",,1,,"79,5",,,,2,,1,
DI08019-2itknt,2854428,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,78,,3,,137,,,,"78,7",,"104,9",,2,,"89,3",,1,,"2,5",,1,
Strub061859-1itknt,2854497,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,"1,5",,143,,,,"78,9",,"95,1",,"1,5",,81,,"1,5",,"1,5",,1,
Fr759/08itkt,2854492,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,141,,"9,85",,"76,2",,"108,5",,,,"88,5",,,,,,,
Grapeliitkfi,2854442,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,1,,136,,"9,25",,77,,"109,5",,1,,"86,9",,,,1,,1,
DI08019-2itkt,2854429,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,,,138,,"9,89",,"76,1",,"106,5",,,,"86,8",,,,,,,
Fr759/08itkfi,2854490,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,1,,140,,"9,04",,79,,"99,7",,2,,"79,1",,,,"1,5",,1,
JDBE42itknt,2854455,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,48905,https://doi.org/10.15454/XS84TO,JDBE42,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,75,,"2,5",,136,,,,"77,5",,91,,2,,"77,5",,1,,2,,1,
AO10003itkfi,2854481,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,"1,5",,136,,"9,64",,"77,7",,"97,6",,1,,"77,4",,,,"1,5",,1,
CF08027itkfi,2854535,BTH_Estrées-Mons_2011_SetA1,BTH_Estrées-Mons_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,"1,5",,140,,"9,84",,"79,9",,"105,7",,1,,"83,9",,,,1,,1,
