observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itkt,2855305,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"45,3",,"132,5",,"76,2",,"103,9",,"82,8",
Grapeliitknt,2855314,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"92,5",,,,,,"68,6",,"92,7",,"66,7",
Strub061859-1itkt,2855351,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2011,"92,5",,"50,6",,138,,"76,8",,"100,2",,"79,9",
DI08019-2itknt,2855304,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,,,,,"70,6",,"91,4",,"65,7",
Fr759/08itknt,2855346,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"87,5",,,,,,"71,4",,"91,2",,"65,5",
DI09018itkt,2855369,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2011,"82,5",,"50,6",,"137,5",,"69,6",,"95,7",,"76,3",
HadmF11383itkt,2855313,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,"48,3",,"133,5",,"75,7",,"100,8",,"80,4",
HadmF11383itknt,2855312,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,,,,,"70,4",,"97,4",,70,
CF08027itkt,2855377,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,"49,8",,137,,"77,2",,"106,4",,"84,8",
AO10015itkt,2855299,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2011,"97,5",,"53,2",,130,,"76,6",,"100,9",,"80,4",
CF07143itkt,2855359,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2011,"92,5",,"52,2",,136,,"74,6",,"102,6",,"81,8",
CF08027itknt,2855376,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,90,,,,,,71,,"104,4",,75,
CF07143itknt,2855358,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,95,,,,,,"66,1",,"103,4",,"74,3",
EM08221itknt,2855316,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,75,,,,,,"62,2",,"93,9",,"67,5",
Soissonsitknt,2855370,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,,,,,"70,4",,"98,8",,71,
Hadm01221-04itknt,2855366,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,75,,,,,,"67,2",,"106,9",,"76,9",
Hadm01221-04itkt,2855367,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,"48,6",,"136,5",,"72,6",,"108,3",,"86,3",
EM08223itkt,2855321,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,"45,4",,"131,5",,"70,6",,"91,2",,"72,7",
Granamaxitknt,2855334,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,,,,,"71,2",,"98,9",,"71,1",
Granamaxitkt,2855335,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2011,"82,5",,"52,1",,133,,"74,1",,"101,1",,"80,6",
HadmF276itkt,2855361,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,"53,2",,131,,"74,4",,95,,"75,7",
EM08223itknt,2855320,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,75,,,,,,"65,1",,"103,4",,"74,3",
HadmF276itknt,2855360,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,,,,,67,,"101,8",,"73,2",
Soissonsitkt,2855371,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"47,8",,129,,"76,1",,"77,2",,"61,6",
JDBF80itkt,2855365,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,49395,https://doi.org/10.15454/C10CEB,JDBF80,VIRTUAL_TRIAL,,,,,,,,treated,2011,"82,5",,"51,6",,"129,5",,"74,6",,"89,9",,"71,7",
JDBF80itknt,2855364,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,49395,https://doi.org/10.15454/C10CEB,JDBF80,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"87,5",,,,,,"72,2",,"93,1",,"66,9",
Koreliitkt,2855329,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,49,,135,,"78,4",,"103,8",,"82,7",
Koreliitknt,2855328,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,90,,,,,,"74,2",,"94,2",,"67,7",
AO10015itknt,2855298,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"97,5",,,,,,"70,9",,100,,"71,9",
JDBE42itknt,2855322,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48905,https://doi.org/10.15454/XS84TO,JDBE42,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,,,,,72,,"96,3",,"69,2",
AO10013itknt,2855318,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,,,,,"64,4",,"105,9",,"76,1",
DI09006itkt,2855337,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,"48,1",,"138,5",,"73,8",,"108,5",,"86,5",
Altigoitkt,2855343,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,"57,4",,131,,"74,6",,"101,8",,"81,1",
AO10028itkt,2855345,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,treated,2011,"77,5",,"53,3",,"131,5",,74,,"105,1",,"83,8",
DI09006itknt,2855336,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,,,,,"68,2",,"102,3",,"73,6",
RE07019itknt,2855308,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,,,,,"70,8",,97,,"69,7",
EM08221itkt,2855317,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2011,"77,5",,"45,7",,137,,"70,2",,"99,1",,79,
AO10013itkt,2855319,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2011,"72,5",,51,,"132,5",,"68,8",,"99,6",,"79,4",
RE07019itkt,2855309,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,52,,133,,"75,2",,"94,9",,"75,6",
AO10026itkt,2855331,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,"49,2",,134,,"75,9",,"111,1",,"88,5",
CF08049itkt,2855373,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,"48,6",,"133,5",,75,,"101,2",,"80,7",
Folkloritkt,2855303,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,"50,1",,134,,"73,4",,"104,9",,"83,6",
Folkloritknt,2855302,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"82,5",,,,,,"68,8",,"108,5",,78,
CF08049itknt,2855372,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,75,,,,,,"70,6",,97,,"69,7",
EM08024itkt,2855327,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,treated,2011,"87,5",,"46,6",,"132,5",,"75,8",,"99,6",,"79,4",
EM08024itknt,2855326,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,90,,,,,,"69,3",,"94,4",,"67,8",
AO10003itknt,2855340,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"82,5",,,,,,"70,6",,91,,"65,4",
Premioitkt,2855301,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"50,5",,"131,5",,"74,8",,"92,5",,"73,7",
Altigoitknt,2855342,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,,,,,"67,2",,"104,5",,"75,1",
Premioitknt,2855300,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,,,,,"71,6",,97,,"69,7",
CF08084itkt,2855355,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,treated,2011,"82,5",,"52,6",,"137,5",,"75,9",,"105,7",,"84,2",
CF08084itknt,2855354,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,,,,,"72,2",,"91,1",,"65,5",
Hadm01601-07itknt,2855324,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,,,,,69,,"105,6",,"75,9",
Bermudeitknt,2855306,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"82,5",,,,,,"69,2",,95,,"68,3",
EM08019itkt,2855357,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2011,"77,5",,"46,4",,"130,5",,"70,3",,"97,3",,"77,5",
EM08019itknt,2855356,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,75,,,,,,"63,7",,"102,9",,74,
AO10028itknt,2855344,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"77,5",,,,,,"68,1",,"98,4",,"70,7",
Hadm01601-07itkt,2855325,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2011,"72,5",,50,,131,,"74,8",,"93,5",,"74,5",
Bermudeitkt,2855307,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2011,"82,5",,"51,1",,134,,"76,6",,"104,5",,"83,3",
Apacheitkt,2855333,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,"82,5",,"50,4",,129,,"74,8",,"101,2",,"80,7",
Apacheitknt,2855332,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"82,5",,,,,,"72,5",,"103,5",,"74,4",
EM07117itkt,2855311,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,"44,2",,135,,"74,9",,"108,1",,"86,2",
EM07117itknt,2855310,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"92,5",,,,,,"71,2",,"99,4",,"71,5",
JDBH22itkt,2855349,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48908,https://doi.org/10.15454/JJNR8O,JDBH22,VIRTUAL_TRIAL,,,,,,,,treated,2011,"82,5",,"50,4",,129,,"76,7",,"94,3",,"75,2",
HadmF11671itknt,2855352,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,,,,,"70,7",,"89,3",,"64,2",
HadmF11671itkt,2855353,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,"49,4",,"133,5",,"77,2",,"98,5",,"78,5",
Lyrikitknt,2855374,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,"82,5",,,,,,70,,"103,5",,"74,4",
AO10003itkt,2855341,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,"53,4",,137,,"75,9",,"108,6",,"86,5",
HadmF11326itkt,2855339,BTH_Orgeval_2011_SetA1,BTH_Orgeval_2011_SetA1,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,treated,2011,"72,5",,47,,132,,"75,6",,"90,4",,72,
