observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO11007itkfi,2858592,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61304,https://doi.org/10.15454/AKFYIH,AO11007,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,130,,"8,98",,"91,7",,6,,81,,1,,1,
CF10016itkfi,2858646,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61850,https://doi.org/10.15454/WEJGW3,CF10016,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,136,,"8,75",,"94,9",,3,,"83,9",,1,,1,
AO11007itkt,2858593,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61304,https://doi.org/10.15454/AKFYIH,AO11007,VIRTUAL_TRIAL,,,,,,,,treated,2011,94,,130,,"10,07",,"95,6",,,,"105,2",,,,,
DI11004itkt,2858605,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60820,https://doi.org/10.15454/ARVEL8,DI11004,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,137,,"9,88",,"88,8",,,,"97,7",,,,,
CF10011itkt,2858641,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61834,https://doi.org/10.15454/YFSHA8,CF10011,VIRTUAL_TRIAL,,,,,,,,treated,2011,91,,133,,"9,67",,"93,3",,,,"102,7",,,,,
CF10039itkt,2858625,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61867,https://doi.org/10.15454/4DSGY4,CF10039,VIRTUAL_TRIAL,,,,,,,,treated,2011,100,,135,,"9,89",,"91,3",,,,"100,5",,,,,
RE10040itkfi,2858636,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,136,,"8,75",,"104,2",,1,,"92,1",,1,,1,
AO11004itkt,2858621,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61255,https://doi.org/10.15454/K4DPBH,AO11004,VIRTUAL_TRIAL,,,,,,,,treated,2011,69,,130,,"9,23",,"94,6",,,,"104,2",,,,,
AO11004itkfi,2858620,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61255,https://doi.org/10.15454/K4DPBH,AO11004,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,66,,130,,"8,37",,"91,3",,"4,5",,"80,7",,1,,1,
CF10011itkfi,2858640,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61834,https://doi.org/10.15454/YFSHA8,CF10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,132,,"7,9",,"94,3",,1,,"83,3",,1,,1,
AO11006itkfi,2858614,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61287,https://doi.org/10.15454/IAPJBN,AO11006,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,130,,"8,38",,101,,"3,5",,"89,3",,1,,1,
RE10040itkt,2858637,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,137,,"9,18",,"94,8",,,,"104,4",,,,,
