observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO12001itkt,2870893,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,8",,72,,94,,NA,,49,,NA,,93,,NA,,236,,NA,,114,,"1,61",,284,,"66,5",,196,,NA,,"12,7",,NA,,1678,,NA,,"52,5",
AO12002itkt,2870894,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,6",,86,,85,,NA,,14,,NA,,69,,NA,,168,,NA,,105,,"1,22",,310,,"67,5",,224,,NA,,"13,7",,NA,,1448,,NA,,55,
EM10126itkt,2870900,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,5",,69,,85,,NA,,14,,NA,,76,,NA,,175,,NA,,88,,"1,28",,210,,81,,242,,NA,,"11,9",,NA,,1473,,NA,,"36,5",
CF10185itkt,2870929,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,6",,95,,91,,NA,,30,,NA,,75,,NA,,196,,NA,,101,,"1,07",,316,,77,,272,,NA,,"13,7",,NA,,1618,,NA,,"53,5",
DI12011itkt,2870879,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"27,7",,156,,NA,,85,,NA,,"23,75",,NA,,50,,NA,,"158,75",,43,,"0,28",,132,,57,,253,,"35,11",,"12,6",,"71,7",,NA,,1180,,NA,
CF10064itkt,2870882,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,3",,84,,79,,NA,,9,,NA,,61,,NA,,149,,NA,,105,,"1,27",,315,,"39,5",,179,,NA,,14,,NA,,1245,,NA,,42,
AO12006itkt,2870896,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,8",,72,,85,,NA,,11,,NA,,42,,NA,,138,,NA,,71,,1,,154,,73,,348,,NA,,"12,5",,NA,,1388,,NA,,43,
EM11537itkt,2870875,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,6",,104,,NA,,97,,NA,,"26,15",,NA,,97,,NA,,"220,15",,97,,"0,94",,293,,68,,240,,"37,43",,12,,75,,NA,,1280,,NA,
AO12016itkt,2870918,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,7",,79,,91,,NA,,33,,NA,,81,,NA,,205,,NA,,95,,"1,22",,270,,82,,185,,NA,,"11,9",,NA,,1548,,NA,,"40,5",
CF09117itkt,2870920,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2012,21,,89,,85,,NA,,10,,NA,,77,,NA,,172,,NA,,92,,"1,03",,307,,64,,186,,NA,,"14,6",,NA,,1318,,NA,,"64,5",
