observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE12030itkt,2876283,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61337,https://doi.org/10.15454/PJFLXT,RE12030,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,163,,"12,7",,"83,3",,94,,,,"95,5",,,,,,"3,5",
Pakitoitkfi,2876260,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,81,,1,,158,,"11,5",,"77,4",,"103,1",,1,,"74,8",,1,,9,,5,
RE12030itkfi,2876282,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61337,https://doi.org/10.15454/PJFLXT,RE12030,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,85,,1,,162,,"12,8",,"78,1",,104,,1,,"75,4",,1,,4,,"3,5",
RE12001itkfi,2876244,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,94,,1,,158,,"11,1",,"77,7",,"118,8",,2,,"86,2",,1,,5,,2,
CF12053itkfi,2876290,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,92,,1,,162,,"12,8",,"78,8",,"120,2",,"4,5",,"87,2",,2,,"4,5",,"3,5",
RE12001itkt,2876245,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,86,,,,160,,11,,"80,6",,"105,8",,,,"107,5",,,,,,"2,5",
AO13002itkt,2876235,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61273,https://doi.org/10.15454/2QGKAK,AO13002,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,158,,"11,2",,"82,6",,"106,6",,,,"108,3",,,,,,"5,5",
AO13006itkt,2876239,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61943,https://doi.org/10.15454/95ZYU4,AO13006,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,70,,,,158,,12,,"82,2",,"98,2",,,,"99,8",,,,,,3,
AO13006itkfi,2876238,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61943,https://doi.org/10.15454/95ZYU4,AO13006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,80,,1,,158,,"12,2",,"77,5",,"98,6",,3,,"71,5",,1,,"8,5",,"2,5",
CF12108itkt,2876237,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,77,,,,158,,"11,7",,"83,2",,"103,7",,,,"105,4",,,,,,"2,5",
AO13002itkfi,2876234,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61273,https://doi.org/10.15454/2QGKAK,AO13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,86,,"2,5",,156,,11,,"79,9",,"106,3",,1,,"77,2",,"5,5",,8,,"6,5",
RE12040itkfi,2876228,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,90,,"1,5",,158,,"12,9",,"80,5",,"115,1",,2,,"83,5",,"2,5",,6,,"2,5",
CF12108itkfi,2876236,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,88,,1,,156,,"11,9",,"78,8",,"115,6",,"4,5",,"83,9",,1,,"3,5",,3,
RE12005itkfi,2876248,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61290,https://doi.org/10.15454/Q9AAOE,RE12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"2,5",,95,,1,,160,,"10,9",,"77,5",,114,,1,,"82,7",,1,,4,,6,
AO13008itkfi,2876288,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60717,https://doi.org/10.15454/QBK7AX,AO13008,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,78,,1,,157,,"12,5",,"78,8",,"107,2",,"4,5",,"77,8",,4,,7,,"1,5",
RE12005itkt,2876249,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61290,https://doi.org/10.15454/Q9AAOE,RE12005,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,88,,,,162,,"11,6",,"81,9",,96,,,,"97,6",,,,,,"7,5",
RE12040itkt,2876229,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,,,159,,"12,2",,"84,5",,"104,6",,,,"106,3",,,,,,2,
AO13014itkfi,2876276,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60818,https://doi.org/10.15454/CYMV5L,AO13014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,92,,"1,5",,162,,"11,1",,"75,6",,"120,3",,"3,5",,"87,3",,1,,"4,5",,5,
RE12039itkt,2876279,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,158,,"12,9",,"84,2",,"95,7",,,,"97,2",,,,,,2,
AO13014itkt,2876277,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60818,https://doi.org/10.15454/CYMV5L,AO13014,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,163,,"12,1",,"79,6",,"111,3",,,,113,,,,,,"6,5",
CF12053itkt,2876291,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,79,,,,163,,"12,6",,"81,9",,"106,5",,,,"108,2",,,,,,"2,5",
RE12020itkt,2876251,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,160,,"13,8",,"82,2",,"92,1",,,,"93,5",,,,,,3,
RE12039itkfi,2876278,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,85,,1,,157,,"12,7",,"79,4",,"106,8",,1,,"77,5",,2,,"4,5",,2,
EM12096itkt,2876223,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,,,158,,"12,4",,"83,1",,95,,,,"96,6",,,,,,2,
CF12048itkfi,2876258,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61386,https://doi.org/10.15454/SZ7V8T,CF12048,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,93,,1,,158,,"12,5",,"81,4",,108,,"2,5",,"78,4",,1,,7,,4,
