observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13044itkt,2878327,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61303,https://doi.org/10.15454/O5PDFN,AO13044,VIRTUAL_TRIAL,,,,,,,,treated,2013,149,,80,,"80,9",,"88,2",,2,
CF12352itkt,2878341,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61703,https://doi.org/10.15454/NAJGZ1,CF12352,VIRTUAL_TRIAL,,,,,,,,treated,2013,142,,81,,"100,9",,"109,9",,4,
AO13029itkt,2878316,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,treated,2013,141,,82,,"104,3",,"113,6",,1,
AO13030itkt,2878320,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2013,138,,79,,"111,7",,"121,6",,1,
RE12100itkt,2878312,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,treated,2013,140,,80,,"93,7",,102,,1,
EM12340itkt,2878348,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,treated,2013,149,,75,,"87,2",,95,,1,
AO13031itkt,2878343,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,treated,2013,140,,"80,5",,"100,9",,"109,9",,1,
CF12372itkt,2878345,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61717,https://doi.org/10.15454/ONKOGJ,CF12372,VIRTUAL_TRIAL,,,,,,,,treated,2013,142,,"77,5",,"69,9",,"76,2",,4,
CF12376itkt,2878347,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,treated,2013,138,,"78,5",,"101,3",,"110,3",,4,
AO13041itkt,2878331,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61254,https://doi.org/10.15454/TWWXEK,AO13041,VIRTUAL_TRIAL,,,,,,,,treated,2013,144,,75,,"93,6",,"101,9",,1,
AO13042itkt,2878329,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,treated,2013,147,,80,,"107,5",,117,,1,
Bermudeitkt,2878318,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,145,,81,,"95,1",,"103,6",,1,
EM12273itkt,2878336,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,62019,https://doi.org/10.15454/HJW1L8,EM12273,VIRTUAL_TRIAL,,,,,,,,treated,2013,139,,"81,5",,"88,5",,"96,4",,1,
EM12252itkt,2878338,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,62002,https://doi.org/10.15454/XMLVLJ,EM12252,VIRTUAL_TRIAL,,,,,,,,treated,2013,141,,81,,"86,5",,"94,2",,1,
AO13046itkt,2878344,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61333,https://doi.org/10.15454/JD3ICY,AO13046,VIRTUAL_TRIAL,,,,,,,,treated,2013,144,,"74,5",,"95,5",,104,,1,
AO13043itkt,2878313,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61286,https://doi.org/10.15454/F0IUDT,AO13043,VIRTUAL_TRIAL,,,,,,,,treated,2013,151,,"79,5",,"82,8",,"90,2",,1,
EM12359itkt,2878334,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,treated,2013,143,,78,,"91,9",,"100,1",,1,
Apacheitkt,2878332,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,139,,82,,"100,4",,"109,4",,1,
RE12071itkt,2878335,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61543,https://doi.org/10.15454/8TKSMS,RE12071,VIRTUAL_TRIAL,,,,,,,,treated,2013,151,,"80,5",,"83,2",,"90,6",,1,
