observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE12080,2884029,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,"2,3",,2,,NA,,8,
AO13003,2884010,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,2014,8,,"0,6",,2,,2,,2,
DI13002,2884021,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,2014,"2,5",,"1,5",,-Inf,,3,,1,
AO13015,2884034,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,2014,5,,"3,6",,5,,4,,1,
Folklor,2884008,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2014,3,,NA,,2,,4,,2,
RE12001,2884014,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,2014,4,,"2,5",,2,,2,,3,
RE12040,2884032,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,2014,4,,"2,6",,2,,4,,5,
RE12042,2884035,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,2014,4,,"1,3",,2,,4,,1,
RE12050,2884030,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,2014,4,,"3,5",,3,,3,,1,
RE12051,2884031,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,"2,4",,5,,2,,1,
RE12073,2884028,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,2014,4,,"5,9",,5,,3,,1,
RE12100,2884005,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,2014,4,,"1,2",,2,,2,,1,
Apache,2884026,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2014,2,,NA,,5,,6,,1,
Attlass,2884037,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2014,6,,NA,,2,,5,,1,
Granamax,2884027,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2014,6,,NA,,5,,4,,1,
Rubisko,2884043,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,2014,3,,NA,,5,,NA,,1,
CF12108,2884012,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,2014,"3,5",,"6,1",,5,,4,,1,
EM12096,2884006,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,2014,4,,1,,2,,3,,1,
EM12205,2884007,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,2014,6,,1,,2,,4,,6,
EM12231,2884025,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,"6,1",,5,,1,,1,
EM12234,2884023,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,2014,8,,"2,3",,2,,4,,1,
EM12340,2884042,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,2014,5,,"4,2",,5,,1,,1,
EM12359,2884038,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,2014,3,,"1,4",,2,,3,,1,
RE12002,2884015,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,2014,"5,5",,"2,2",,2,,2,,1,
RE12020,2884016,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,2014,"3,5",,"1,4",,2,,3,,1,
EM12044,2884024,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,"5,1",,5,,4,,6,
Soissons,2884041,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2014,3,,"8,2",,5,,6,,2,
