observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
ARKEOSitkt,2969426,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,traite,2015,138,,12.2,,76.8,,94.6,,,,116.6,,,,,,2,
AO13026itknt,2969335,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,142,,,,,,70.4,,NA,,75.6,,9,,NA,,5,
AO13026itkfi,2969334,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,140,,11.8,,78.1,,74.6,,NA,,74.4,,9,,NA,,4.5,
AO13029itkt,2969342,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,traite,2015,141,,12.3,,78,,99.4,,,,122.5,,,,,,2.5,
AO13029itknt,2969341,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,140,,,,,,102.3,,4,,109.9,,3.5,,6.5,,3.5,
AO13029itkfi,2969340,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,138,,11.7,,79.7,,108.4,,5.5,,108.1,,2,,4.5,,3,
AO13031itkt,2969420,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,traite,2015,138,,12.7,,78.8,,100.3,,,,123.6,,,,,,5.5,
AO13031itknt,2969419,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,138,,,,,,98.4,,7,,105.7,,5,,5,,7.5,
AO13031itkfi,2969418,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,136,,12,,79.2,,102.4,,7.5,,102.1,,2,,4.5,,5.5,
DI14001itkt,2969399,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,12.1,,78.6,,98.1,,,,120.9,,,,,,3.5,
