observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
ARKEOSitknt,2970270,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,141,,,,64.4,,101.9,,2,,76,,1,,3,
AO13026itknt,2970210,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,146,,,,65.8,,87.5,,3,,65.2,,1,,3,
AO13029itkt,2970215,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,144,,11.3,,74.6,,99.4,,,,81.3,,,,,
AO13029itknt,2970214,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,80,,144,,,,65.9,,98.4,,2,,73.3,,1,,2.5,
AO13031itkt,2970267,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,144,,11.4,,75.8,,97.6,,,,79.8,,,,,
AO13031itknt,2970266,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,88,,142,,,,68,,93.6,,4.5,,69.7,,1,,3,
DI14001itkt,2970253,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,145,,10.4,,74.8,,96.9,,,,79.2,,,,,
DI14001itknt,2970252,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,145,,,,65.7,,104,,1,,77.5,,1,,2,
AO13042itkt,2970239,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,148,,10.1,,75.8,,98.4,,,,80.4,,,,,
AO13042itknt,2970238,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,88,,146,,,,66.8,,97.5,,3.5,,72.7,,1,,2.5,
DI14004itkt,2970207,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,traite,2015,82,,146,,10.4,,71.9,,102.8,,,,84,,,,,
DI14004itknt,2970206,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,85,,147,,,,65.5,,109.2,,1.5,,81.4,,1,,2,
