observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,AwnLength(WIPO:0000273),AwnLength(WIPO:0000273).date,Frost susceptibility(CO_321:1000271),Frost susceptibility(CO_321:1000271).date,GrainWeight(CO_321:1000177),GrainWeight(CO_321:1000177).date,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PeduncleExtrusion(WIPO:0000284),PeduncleExtrusion(WIPO:0000284).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,RowType(WIPO:0000285),RowType(WIPO:0000285).date,SeedArea(CO_321:1000144),SeedArea(CO_321:1000144).date,SeedLength(CO_321:1000146),SeedLength(CO_321:1000146).date,SeedWidth(CO_321:1000147),SeedWidth(CO_321:1000147).date,SpikeLength(CO_321:1000079),SpikeLength(CO_321:1000079).date
59,3294993,BW2,Barley_Winter_JHI,48104,https://doi.org/10.15454/VAQ3SZ,TUNISIE 4A,BLOCK>PLOT,,,,,12,37,"BLOCK>PLOT:59,BLOCK:8",2015,11.75,,2,2015-03-30T02:00:00Z,56.77,2015-10-01T02:00:00Z,222,2015-06-08T02:00:00Z,76.75,,14,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,31,2015-10-01T02:00:00Z,12.4,2015-10-01T02:00:00Z,3.5,2015-10-01T02:00:00Z,8.3,
54,3294974,BW2,Barley_Winter_JHI,63290,https://doi.org/10.15454/AEXOWW,HOR261,BLOCK>PLOT,,,,,7,36,"BLOCK>PLOT:54,BLOCK:4",2015,11.75,,3,2015-03-30T02:00:00Z,48.92,2015-10-14T02:00:00Z,229,2015-06-15T02:00:00Z,93.25,,12.25,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,26.4,2015-10-14T02:00:00Z,10.3,2015-10-14T02:00:00Z,3.5,2015-10-14T02:00:00Z,8.5,
45,3294959,BW2,Barley_Winter_JHI,63298,https://doi.org/10.15454/LMKF5A,HOR1873,BLOCK>PLOT,,,,,5,35,"BLOCK>PLOT:45,BLOCK:4",2015,14,,4,2015-03-30T02:00:00Z,53.23,2015-10-14T02:00:00Z,217,2015-06-03T02:00:00Z,54.5,,6.75,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,29.5,2015-10-14T02:00:00Z,12.2,2015-10-14T02:00:00Z,3.4,2015-10-14T02:00:00Z,4.5,
61,3294594,BW2,Barley_Winter_JHI,63300,https://doi.org/10.15454/OA0FKW,HOR2591,BLOCK>PLOT,,,,,5,9,"BLOCK>PLOT:61,BLOCK:1",2015,11.5,,2,2015-03-30T02:00:00Z,64.95,2015-10-14T02:00:00Z,215,2015-06-01T02:00:00Z,58.5,,11.75,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,31.7,2015-10-14T02:00:00Z,12.2,2015-10-14T02:00:00Z,3.7,2015-10-14T02:00:00Z,5.3,
20,3295050,BW2,Barley_Winter_JHI,63300,https://doi.org/10.15454/OA0FKW,HOR2591,BLOCK>PLOT,,,,,11,41,"BLOCK>PLOT:20,BLOCK:10",2015,13.25,,3,2015-03-30T02:00:00Z,62.15,2015-09-21T02:00:00Z,212,2015-05-29T02:00:00Z,65.5,,10.75,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,31.2,2015-09-21T02:00:00Z,12.4,2015-09-21T02:00:00Z,3.6,2015-09-21T02:00:00Z,5.5,
26,3294799,BW2,Barley_Winter_JHI,63307,https://doi.org/10.15454/NVO9HE,HOR3988,BLOCK>PLOT,,,,,11,23,"BLOCK>PLOT:26,BLOCK:7",2015,8,,3,2015-03-30T02:00:00Z,37.35,2015-10-08T02:00:00Z,205,2015-05-22T02:00:00Z,65.5,,11,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,16.3,2015-10-08T02:00:00Z,6.3,2015-10-08T02:00:00Z,3.3,2015-10-08T02:00:00Z,6.8,
37,3294556,BW2,Barley_Winter_JHI,63314,https://doi.org/10.15454/BJLXE4,HOR5865,BLOCK>PLOT,,,,,9,6,"BLOCK>PLOT:37,BLOCK:5",2015,9.5,,3,2015-03-30T02:00:00Z,44.02,2015-10-19T02:00:00Z,229,2015-06-15T02:00:00Z,80.25,,11,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,23.3,2015-10-19T02:00:00Z,8.9,2015-10-19T02:00:00Z,3.4,2015-10-19T02:00:00Z,9.8,
49,3294843,BW2,Barley_Winter_JHI,63249,https://doi.org/10.15454/B7BZRT,Igri,BLOCK>PLOT,,,,,13,26,"BLOCK>PLOT:49,BLOCK:7",2015,,,,,,,,,,,,,0,2015-03-10T01:00:00Z,,,,,,,,,,
5,3294627,BW2,Barley_Winter_JHI,63250,https://doi.org/10.15454/NTJEXN,KW Cassia,BLOCK>PLOT,,,,,8,11,"BLOCK>PLOT:5,BLOCK:6",2015,14,,4,2015-03-30T02:00:00Z,72.43,2015-10-08T02:00:00Z,224,2015-06-10T02:00:00Z,50.5,,-1.25,,2,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,29.3,2015-10-08T02:00:00Z,9.4,2015-10-08T02:00:00Z,4.2,2015-10-08T02:00:00Z,8.8,
22,3294658,BW2,Barley_Winter_JHI,63251,https://doi.org/10.15454/HGL1IZ,KW Glacier,BLOCK>PLOT,,,,,11,13,"BLOCK>PLOT:22,BLOCK:6",2015,11.25,,1,2015-03-30T02:00:00Z,70.08,2015-10-01T02:00:00Z,219,2015-06-05T02:00:00Z,57,,4.75,,2,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,28.5,2015-10-01T02:00:00Z,9.3,2015-10-01T02:00:00Z,4.1,2015-10-01T02:00:00Z,10,
