id,name,class,description,formula,reference
0001027,BM Computation,ComputationMethod,"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0001027,BM Computation,ComputationMethod,"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0001027,BM Computation,ComputationMethod,"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000229,BM Measurement,MeasurementMethod,"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000229,BM Measurement,MeasurementMethod,"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000229,BM Measurement,MeasurementMethod,"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000299,AcdTol  Estimation,EstimationMethod,Observe the growth of plants per plot/entry in a low pH (acid) soil field and rate the tolerance.,,"Reynolds et al., 2001 (Ch. 15)"
0000351,AgrScr Estimation,EstimationMethod,For agronomic score observe visually detectable signs of factors limiting yields and rate.,,
0000351,AgrScr Estimation,EstimationMethod,For agronomic score observe visually detectable signs of factors limiting yields and rate.,,
0000351,AgrScr Estimation,EstimationMethod,For agronomic score observe visually detectable signs of factors limiting yields and rate.,,
0000304,AtritResp Estimation,EstimationMethod,Standard method for Alternaria leaf blight field response.,,"Duveiller et al., 2012"
0000300,AlTol Estimation,EstimationMethod,Observe the growth of plants per plot/entry in a soil presenting aluminum toxicity and rate the tolerance.,,"Reynolds et al., 2001 (Ch. 15)"
