id,name,class,decimal,upper,lower
0000805,g/m2,NumericalScale,0.0,0.0,100.0
0000804,kg/ha,NumericalScale,0.0,0.0,20000.0
0000432,t/ha,NumericalScale,2.0,0.0,20.0
0001431,g/plant,NumericalScale,1.0,0.0,0.0
0000412,g/plot,NumericalScale,1.0,0.0,12000.0
0000806,kg/plot,NumericalScale,3.0,1.0,6.0
0000464,1-5 TOL scale,OrdinalScale,1.0,0.0,0.0
0000885,0-9 scoring scale,OrdinalScale,1.0,0.0,0.0
0000884,1-9 scoring scale,OrdinalScale,1.0,0.0,0.0
0000462,1-5 scoring scale,OrdinalScale,1.0,0.0,0.0
0000471,1-8 generic disease field response scale,OrdinalScale,1.0,0.0,0.0
0000468,1-9 TOL scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000850,yyyymmdd,TimeScale,0.0,0.0,0.0
0000434,day,DurationScale,0.0,40.0,240.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000457,1-5 DMG scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000411,cm,NumericalScale,1.0,5.0,90.0
0000727,0-9 percentage scale + text,TextScale,1.0,0.0,0.0
0000470,Double digit (00-99),OrdinalScale,1.0,0.0,0.0
0000470,Double digit (00-99),OrdinalScale,1.0,0.0,0.0
0000727,0-9 percentage scale + text,TextScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000446,0-9 percentage scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000465,1-9 incidence scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000753,0-12 Modified Cobb Scale,OrdinalScale,1.0,0.0,0.0
0000727,0-9 percentage scale + text,TextScale,1.0,0.0,0.0
0000728,Double digit (00-99) + text,TextScale,1.0,0.0,0.0
0000470,Double digit (00-99),OrdinalScale,1.0,0.0,0.0
0000446,0-9 percentage scale,OrdinalScale,1.0,0.0,0.0
0000727,0-9 percentage scale + text,TextScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000446,0-9 percentage scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000457,1-5 DMG scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000446,0-9 percentage scale,OrdinalScale,1.0,0.0,0.0
0000850,yyyymmdd,TimeScale,0.0,0.0,0.0
0000850,yyyymmdd,TimeScale,0.0,0.0,0.0
0000434,day,DurationScale,0.0,40.0,240.0
0000434,day,DurationScale,0.0,40.0,240.0
0000468,1-9 TOL scale,OrdinalScale,1.0,0.0,0.0
0000462,1-5 scoring scale,OrdinalScale,1.0,0.0,0.0
0000427,ml,NumericalScale,1.0,4.0,25.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000462,1-5 scoring scale,OrdinalScale,1.0,0.0,0.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000414,%,NumericalScale,1.0,0.0,100.0
0000414,%,NumericalScale,1.0,0.0,100.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000464,1-5 TOL scale,OrdinalScale,1.0,0.0,0.0
0000411,cm,NumericalScale,1.0,5.0,90.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000446,0-9 percentage scale,OrdinalScale,1.0,0.0,0.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000420,g/m2/day,NumericalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000850,yyyymmdd,TimeScale,0.0,0.0,0.0
0000434,day,DurationScale,0.0,40.0,240.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000428,mm,NumericalScale,1.0,2.0,40.0
0000428,mm,NumericalScale,1.0,2.0,40.0
0000428,mm,NumericalScale,1.0,2.0,40.0
0000422,joules,NumericalScale,0.0,25.0,350.0
0000426,min,DurationScale,1.0,0.4,8.0
0000413,%/min,NumericalScale,1.0,0.0,0.0
0000866,1-6 MIXTYP scale,NominalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000464,1-5 TOL scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000850,yyyymmdd,TimeScale,0.0,0.0,0.0
