,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate,plot,plant,x,y,observationlevels,experimental_factors,observations
0,2824,3345597,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2824,,8,47,"REPLICATE>BLOCK>PLOT:2824,REPLICATE>BLOCK:16,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3","[{'factor': 'water_regime', 'modality': 'rainfed'}]","[{'observationDbId': '7106008', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '1545.7663991104'}, {'observationDbId': '7106007', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '206.2305882'}, {'observationDbId': '7106006', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '70,2072968504'}, {'observationDbId': '7106005', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '77,0164465884'}, {'observationDbId': '7106001', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '3.1878431371'}, {'observationDbId': '7106002', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '203.6'}, {'observationDbId': '7106000', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '261.4'}, {'observationDbId': '7106003', 'observationVariableDbId': 'MIPO:0000007', 'observationVariableName': 'ear_height', 'observationTimeStamp': None, 'season': '2012', 'value': '104.6'}, {'observationDbId': '7106004', 'observationVariableDbId': 'MIPO:0000026', 'observationVariableName': 'ASI_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '-6,80914973800'}]"
1,2393,3345150,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2393,,13,23,"REPLICATE>BLOCK>PLOT:2393,REPLICATE>BLOCK:25,REPLICATE:2","[{'factor': 'water_regime', 'modality': 'rainfed'}]","[{'observationDbId': '7102585', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '1550.735797685'}, {'observationDbId': '7102584', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '208.5505882'}, {'observationDbId': '7102583', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '70,2072968504'}, {'observationDbId': '7102582', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '77,0164465884'}, {'observationDbId': '7102586', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '3.2340686275'}, {'observationDbId': '7102581', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '207.2'}, {'observationDbId': '7102580', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '258.4'}, {'observationDbId': '7102587', 'observationVariableDbId': 'MIPO:0000007', 'observationVariableName': 'ear_height', 'observationTimeStamp': None, 'season': '2012', 'value': '105.8'}, {'observationDbId': '7102588', 'observationVariableDbId': 'MIPO:0000026', 'observationVariableName': 'ASI_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '-6,80914973800'}]"
2,2060,3344822,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2060,,4,3,"REPLICATE>BLOCK>PLOT:2060,REPLICATE>BLOCK:7,REPLICATE:1","[{'factor': 'water_regime', 'modality': 'rainfed'}]","[{'observationDbId': '7100050', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '1498.3029653448'}, {'observationDbId': '7100049', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '197.796'}, {'observationDbId': '7100048', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '70,2072968504'}, {'observationDbId': '7100047', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '77,0164465884'}, {'observationDbId': '7100042', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '2.9635833333'}, {'observationDbId': '7100046', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '198'}, {'observationDbId': '7100045', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '248'}, {'observationDbId': '7100044', 'observationVariableDbId': 'MIPO:0000007', 'observationVariableName': 'ear_height', 'observationTimeStamp': None, 'season': '2012', 'value': '110.6'}, {'observationDbId': '7100043', 'observationVariableDbId': 'MIPO:0000026', 'observationVariableName': 'ASI_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '-6,80914973800'}]"
3,1414,3344650,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,1414,,7,3,"REPLICATE>BLOCK>PLOT:1414,REPLICATE>BLOCK:13,REPLICATE:1","[{'factor': 'water_regime', 'modality': 'watered'}]","[{'observationDbId': '7098702', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '1576.720705311'}, {'observationDbId': '7098701', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '243.2244706'}, {'observationDbId': '7098708', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '70,2072968504'}, {'observationDbId': '7098707', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '78,7365616513'}, {'observationDbId': '7098709', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '3.8349705883'}, {'observationDbId': '7098706', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '193.4'}, {'observationDbId': '7098705', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '243.4'}, {'observationDbId': '7098703', 'observationVariableDbId': 'MIPO:0000007', 'observationVariableName': 'ear_height', 'observationTimeStamp': None, 'season': '2012', 'value': '107.8'}, {'observationDbId': '7098704', 'observationVariableDbId': 'MIPO:0000026', 'observationVariableName': 'ASI_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '-8,52926480090'}]"
4,1393,3344629,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,1393,,28,3,"REPLICATE>BLOCK>PLOT:1393,REPLICATE>BLOCK:13,REPLICATE:2","[{'factor': 'water_regime', 'modality': 'watered'}]","[{'observationDbId': '7098529', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '2211.1269617737'}, {'observationDbId': '7098522', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '282.7091765'}, {'observationDbId': '7098527', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '70,2072968504'}, {'observationDbId': '7098521', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '70,2072968504'}, {'observationDbId': '7098528', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '6.251058825'}, {'observationDbId': '7098526', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '227.8'}, {'observationDbId': '7098525', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '287.2'}, {'observationDbId': '7098524', 'observationVariableDbId': 'MIPO:0000007', 'observationVariableName': 'ear_height', 'observationTimeStamp': None, 'season': '2012', 'value': '110.6'}, {'observationDbId': '7098523', 'observationVariableDbId': 'MIPO:0000026', 'observationVariableName': 'ASI_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '0,00000000000'}]"
5,3039water_regimewatered,3334267,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,VIRTUAL_TRIAL,,,,,,,,"[{'factor': 'water_regime', 'modality': 'watered'}]","[{'observationDbId': '6959099', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '269.0083049938'}, {'observationDbId': '6959098', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '70.2534245372'}, {'observationDbId': '6959097', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '73.9518512764'}, {'observationDbId': '6959096', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '209.7188284398'}, {'observationDbId': '6959093', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '1961.9277553231'}, {'observationDbId': '6959095', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '264.1120555477'}, {'observationDbId': '6959094', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '110.2878143722'}]"
6,3039water_regimerainfed,3334021,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,VIRTUAL_TRIAL,,,,,,,,"[{'factor': 'water_regime', 'modality': 'rainfed'}]","[{'observationDbId': '6957377', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '202.5262704759'}, {'observationDbId': '6957376', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '69.52041959'}, {'observationDbId': '6957375', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '76.2678946612'}, {'observationDbId': '6957374', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '201.0357547656'}, {'observationDbId': '6957371', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '1710.0930788723'}, {'observationDbId': '6957373', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '254.3978282524'}, {'observationDbId': '6957372', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '106.3256703797'}]"
7,2737,3345499,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2737,,11,43,"REPLICATE>BLOCK>PLOT:2737,REPLICATE>BLOCK:22,REPLICATE:3","[{'factor': 'water_regime', 'modality': 'rainfed'}]","[{'observationDbId': '7105235', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '1681.7562302568'}, {'observationDbId': '7105241', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '181.6734118'}, {'observationDbId': '7105240', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '68,5802497608'}, {'observationDbId': '7105239', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '70,2072968504'}, {'observationDbId': '7105243', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '3.0553039217'}, {'observationDbId': '7105238', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '220.4'}, {'observationDbId': '7105237', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '274'}, {'observationDbId': '7105236', 'observationVariableDbId': 'MIPO:0000007', 'observationVariableName': 'ear_height', 'observationTimeStamp': None, 'season': '2012', 'value': '119.2'}, {'observationDbId': '7105242', 'observationVariableDbId': 'MIPO:0000026', 'observationVariableName': 'ASI_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '-1,62704708960'}]"
8,2353,3345110,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2353,,11,21,"REPLICATE>BLOCK>PLOT:2353,REPLICATE>BLOCK:21,REPLICATE:2","[{'factor': 'water_regime', 'modality': 'rainfed'}]","[{'observationDbId': '7102220', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '1735.7248792046'}, {'observationDbId': '7102224', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '193.5494118'}, {'observationDbId': '7102225', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '66,8801572071'}, {'observationDbId': '7102226', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '73,5640337939'}, {'observationDbId': '7102223', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '3.3594852942'}, {'observationDbId': '7102227', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '194.2'}, {'observationDbId': '7102228', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '244'}, {'observationDbId': '7102221', 'observationVariableDbId': 'MIPO:0000007', 'observationVariableName': 'ear_height', 'observationTimeStamp': None, 'season': '2012', 'value': '114'}, {'observationDbId': '7102222', 'observationVariableDbId': 'MIPO:0000026', 'observationVariableName': 'ASI_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '-6,68387658680'}]"
9,2215,3344998,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2215,,17,11,"REPLICATE>BLOCK>PLOT:2215,REPLICATE>BLOCK:34,REPLICATE:1","[{'factor': 'water_regime', 'modality': 'rainfed'}]","[{'observationDbId': '7101430', 'observationVariableDbId': 'MIPO:0000017', 'observationVariableName': 'GN', 'observationTimeStamp': None, 'season': '2012', 'value': '1982.2234766652'}, {'observationDbId': '7101428', 'observationVariableDbId': 'MIPO:0000012', 'observationVariableName': 'KW', 'observationTimeStamp': None, 'season': '2012', 'value': '188.8743529'}, {'observationDbId': '7101431', 'observationVariableDbId': 'MIPO:0000025', 'observationVariableName': 'MFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '65,1850475229'}, {'observationDbId': '7101432', 'observationVariableDbId': 'MIPO:0000024', 'observationVariableName': 'FFLW_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '73,5640337939'}, {'observationDbId': '7101429', 'observationVariableDbId': 'MIPO:0000018', 'observationVariableName': 'GY_Adj_tha', 'observationTimeStamp': None, 'season': '2012', 'value': '3.7439117646'}, {'observationDbId': '7101433', 'observationVariableDbId': 'MIPO:0000006', 'observationVariableName': 'plant_height', 'observationTimeStamp': None, 'season': '2012', 'value': '209.8'}, {'observationDbId': '7101434', 'observationVariableDbId': 'MIPO:0000014', 'observationVariableName': 'tassel_height', 'observationTimeStamp': None, 'season': '2012', 'value': '259.2'}, {'observationDbId': '7101435', 'observationVariableDbId': 'MIPO:0000007', 'observationVariableName': 'ear_height', 'observationTimeStamp': None, 'season': '2012', 'value': '126.6'}, {'observationDbId': '7101436', 'observationVariableDbId': 'MIPO:0000026', 'observationVariableName': 'ASI_D20deg', 'observationTimeStamp': None, 'season': '2012', 'value': '-8,37898627100'}]"
