,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,W10,W12,Check
0,123039,3346922,Cam12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,123039.0,,17.0,10.0,"REPLICATE>BLOCK>PLOT:123039,REPLICATE>BLOCK:30,REPLICATE:2",watered,NA,NA,"70,4966242956","78,4377444101",5.4594061625,210,245,110,"-7,94112011450",2012,,,,,,,,,,,,,,,,,
1,113039,3346633,Cam12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,113039.0,,4.0,4.0,"REPLICATE>BLOCK>PLOT:113039,REPLICATE>BLOCK:13,REPLICATE:1",watered,NA,NA,"72,0909156051","76,8285955506",6.0838169935,210,245,105,"-4,73767994550",2012,,,,,,,,,,,,,,,,,
2,223039,3346171,Cam12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,223039.0,,12.0,54.0,"REPLICATE>BLOCK>PLOT:223039,REPLICATE>BLOCK:12,REPLICATE:2",rainfed,NA,NA,"72,0909156051","86,1419677247",2.1195879241,150,180,80,"-14,05105211960",2012,,,,,,,,,,,,,,,,,
3,213039,3346123,Cam12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,213039.0,,12.0,12.0,"REPLICATE>BLOCK>PLOT:213039,REPLICATE>BLOCK:10,REPLICATE:1",rainfed,NA,NA,"73,6998526186","86,1419677247",1.8168727046,140,170,70,"-12,44211510610",2012,,,,,,,,,,,,,,,,,
4,233039,3345979,Cam12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,233039.0,,9.0,56.0,"REPLICATE>BLOCK>PLOT:233039,REPLICATE>BLOCK:36,REPLICATE:3",rainfed,NA,NA,"72,0909156051","83,0722419114",3.3949293495,150,180,80,"-10,98132630630",2012,,,,,,,,,,,,,,,,,
5,3039water_regimewatered,3334823,Cam12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2012,VIRTUAL_TRIAL,,,,,,,,watered,,71.2203738594,77.4312274483,210.4232882444,1844.3402030021,245.4344674693,106.8734999648,,,2012,20.5727244541,20.050356354,19.2381969473,101.969,317.925,1199.59,-24.9924242424,-19.0527777778,36.8577470362,36.2678178907,33.6509513678,,,,,,
6,3039water_regimerainfed,3334577,Cam12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,,72.9983764131,86.1470193978,146.2447088885,952.9845762446,177.0764148923,78.1732178064,,,2012,20.5727244541,20.1382809633,19.1179535785,101.969,425.663,1068.165,-78.2083333333,-12.8395061728,36.8577470362,36.5509948451,33.2635717963,,,,,,
7,123078,3346958,Cam12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,123078.0,,17.0,2.0,"REPLICATE>BLOCK>PLOT:123078,REPLICATE>BLOCK:29,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,NA,NA,"70,4966242956","73,6998526186",3.5593352007,215,245,120,"-3,20322832300",2012,,,,,,,,,,,,,,,,,
8,113078,3346669,Cam12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,113078.0,,4.0,2.0,"REPLICATE>BLOCK>PLOT:113078,REPLICATE>BLOCK:13,REPLICATE:1",watered,NA,NA,"68,9320610081","72,0909156051",4.9112878929,230,260,130,"-3,15885459700",2012,,,,,,,,,,,,,,,,,
9,223078,3346534,Cam12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,223078.0,,18.0,36.0,"REPLICATE>BLOCK>PLOT:223078,REPLICATE>BLOCK:34,REPLICATE:2",rainfed,NA,NA,"72,0909156051","84,5738619048",1.5311484594,130,170,80,"-12,48294629970",2012,,,,,,,,,,,,,,,,,
