,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L8,L10,L12,W8,W10,W12,L9,L11,L13,W9,W11,W13,L14,W14,Check
0,WD3139,3352340,Deb13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3139,,31.0,13.0,"REPLICATE>BLOCK>PLOT:WD3139,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,2236.0487401007,261.6447529412,"77,8867322419","77,8867322419",5.8505042017,219,270,100,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,WD2087,3351992,Deb13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2087,,17.0,3.0,"REPLICATE>BLOCK>PLOT:WD2087,REPLICATE>BLOCK:5,REPLICATE:2",rainfed,3166.5852184411,240.22272,"77,8867322419","77,8867322419",7.6068571429,215,261,110,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,WD1015,3351620,Deb13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1015,,1.0,15.0,"REPLICATE>BLOCK>PLOT:WD1015,REPLICATE>BLOCK:25,REPLICATE:1",rainfed,3538.8381576604,236.05668,"76,1611877157","76,1611877157",8.3536638655,234,282,118,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3039water_regimerainfed,3336609,Deb13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,315.5309472567,77.3098805956,76.7018494819,217.4688208195,2944.276971456,266.6451813917,107.3687492145,,,2013,17.043221026,19.5972739382,13.2968470117,224.011,168.539,721.734,-88.9130434783,-43.7395833333,30.8710195909,33.5922154001,25.2453420299,,,,,,,,,,,,,,,,
4,3078water_regimerainfed,3336644,Deb13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,293.5503164979,72.1665404122,74.2506880605,217.5012213574,2258.8782981977,265.0050165362,122.2401294688,,,2013,17.7485552727,18.6225609857,13.5729867829,156.974,189.917,761.378,-74.0466666667,-47.9722222222,31.2598265972,32.7999056074,25.5951513086,,,,,,,,,,,,,,,,
5,WD3154,3352357,Deb13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3154,,32.0,15.0,"REPLICATE>BLOCK>PLOT:WD3154,REPLICATE>BLOCK:32,REPLICATE:3",rainfed,1562.0373576283,212.8340611765,"71,3157238594","74,4667327846",3.3245475453,208,255,110,"-3,15100892520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WD2004,3351897,Deb13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2004,,13.0,4.0,"REPLICATE>BLOCK>PLOT:WD2004,REPLICATE>BLOCK:1,REPLICATE:2",rainfed,2604.1547380263,235.60328,"71,3157238594","74,4667327846",6.1354739791,214,260,122,"-3,15100892520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WD1097,3351714,Deb13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1097,,5.0,13.0,"REPLICATE>BLOCK>PLOT:WD1097,REPLICATE>BLOCK:17,REPLICATE:1",rainfed,3088.3634261855,247.6288235294,"72,8469300201","74,4667327846",7.6476780186,230,275,135,"-1,61980276450",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3256water_regimerainfed,3336816,Deb13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,319.1159812524,74.3406840503,72.6139175509,219.6508241408,2431.0948816982,264.5374420008,122.2869340202,,,2013,18.1542415055,18.3165141871,13.7304068105,129.4,152.643,786.861,-68.2307692308,-49.6044776119,31.2611413389,32.7797460156,25.7527605785,,,,,,,,,,,,,,,,
9,WD3011,3352194,Deb13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3011,,25.0,11.0,"REPLICATE>BLOCK>PLOT:WD3011,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",rainfed,2126.6241444662,268.3752235294,"76,1611877157","72,8469300201",5.7073323013,208,250,118,"3,31425769560",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
