,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,L14,W10,W12,W14,L9,L11,L13,W9,W11,W13,L8,W8,L15,W15
0,85,3343032,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,85.0,,1.0,8.0,"REPLICATE>BLOCK>PLOT:85,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,3305.381458734,344,"71,6416376017","70,3112532024",11.370512218,250,278,105,"1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3039water_regimewatered,3339625,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,352.5258594458,71.5804389426,71.6405810169,251.237859248,3656.8001355009,278.5831955411,108.6808236618,,,2013,16.8291880342,17.9969444444,16.7284660895,303.905,238.341,1212.951,-112.1755176302,-95.0374261573,31.7793814321,34.3369068605,30.9739449642,,,,,,,,,,,,,,,,,
2,3039water_regimerainfed,3339379,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,350.4420072309,69.9177338163,72.1149533052,249.4650027116,2225.385582323,274.986240843,93.2502163645,,,2013,16.8291880342,17.9969444444,16.5486349607,303.905,265.27,1199.06,-197.5417227735,-167.2929686522,31.7793814321,34.3369068605,30.938950204,,,,,,,,,,,,,,,,,
3,317,3343547,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,317.0,,22.0,6.0,"REPLICATE>BLOCK>PLOT:317,REPLICATE>BLOCK:10,REPLICATE:2",watered,3718.0360006665,361,"71,6416376017","73,0115533369",13.4221099624,253,279,114,"-1,36991573520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,657,3342528,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,657.0,,10.0,9.0,"REPLICATE>BLOCK>PLOT:657,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2952.245731851,351,"68,9775284053","71,6416376017",10.3623825188,249,281,98,"-2,66410919640",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,970,3342899,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,970.0,,19.0,18.0,"REPLICATE>BLOCK>PLOT:970,REPLICATE>BLOCK:31,REPLICATE:2",rainfed,2453.2861170784,350,"70,3112532024","71,6416376017",8.5865014098,245,273,92,"-1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1032,3342307,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1032.0,,4.0,26.0,"REPLICATE>BLOCK>PLOT:1032,REPLICATE>BLOCK:4,REPLICATE:3",rainfed,1839.2049459587,352,"70,3112532024","73,0115533369",6.4740014098,255,271,90,"-2,70030013450",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3078water_regimewatered,3339660,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,299.6440222276,66.9140525868,72.3710203763,261.1964112718,2885.3210625723,290.6350082701,123.4697839301,,,2013,17.3405902778,17.5525462963,16.5486349607,228.449,316.879,1199.06,-109.290091151,-94.9980633243,32.429509429,33.6507584747,30.938950204,,,,,,,,,,,,,,,,,
8,3078water_regimerainfed,3339414,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,290.0130374041,65.1989719478,71.1077821484,215.5240823163,2170.3590194223,247.5845855011,104.5185064204,,,2013,17.3405902778,17.5065217391,16.7807617845,228.449,314.936,1224.884,-187.5427189723,-168.4569520431,32.429509429,33.542215728,31.1176476499,,,,,,,,,,,,,,,,,
9,504,3343584,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,504.0,,24.0,15.0,"REPLICATE>BLOCK>PLOT:504,REPLICATE>BLOCK:36,REPLICATE:2",watered,2346.8954644676,310,"66,1421419741","73,0115533369",7.2753759398,262,295,124,"-6,86941136280",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
