observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3247water_regimerainfed,3334775,Cam12,Syngenta Campagnola 2012,127641,https://doi.org/10.15454/KR62P7,UH_S018_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,138.5124197096,,1123.1330646132,,69.3028330067,,81.5890116202,,-13.1228070175,,-85.2345679012,,77.885,,1151.315,,403.081,,36.6159487209,,33.3399323474,,36.4047725878,,20.246567466,,19.2368778051,,20.1210243925,,168.1551927569,,77.2941323279,
3248water_regimerainfed,3334776,Cam12,Syngenta Campagnola 2012,127642,https://doi.org/10.15454/NEO4EO,UH_S020_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,141.4138641083,,808.6087777047,,71.9099534857,,83.1364253506,,-13.056547619,,-82.7916666667,,77.885,,1113.935,,403.58,,36.6159487209,,33.3690868908,,36.4515236471,,20.246567466,,19.2251948183,,20.1589800851,,175.5033707218,,70.2609077712,
3178water_regimerainfed,3334707,Cam12,Syngenta Campagnola 2012,127572,https://doi.org/10.15454/MNN3BT,Lo1038_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,131.9495999163,,1336.5526432247,,74.6959152015,,88.1827264212,,-12.679245283,,-75.2901234568,,125.24,,1076.274,,427.529,,37.0483366126,,32.9086452787,,36.5267466041,,20.9305602872,,18.9525019336,,20.0053768609,,163.8696505998,,71.0487661419,
3252water_regimewatered,3335026,Cam12,Syngenta Campagnola 2012,127646,https://doi.org/10.15454/GBTDNM,W117_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,181.7526596251,,652.892847499,,67.9317658993,,72.7427744885,,-18.8888888889,,-26.2391304348,,58.039,,1252.801,,299.767,,36.2183065647,,33.7692122264,,36.6282834955,,19.88559752,,19.2582888117,,20.7274379842,,214.5443483808,,100.9193394185,
3253water_regimerainfed,3334781,Cam12,Syngenta Campagnola 2012,127647,https://doi.org/10.15454/SU486F,W182E_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,113.7976673908,,652.6749692724,,68.6456702223,,80.4119060605,,-13.1724137931,,-85.2011494253,,49.762,,1142.093,,402.317,,36.0860302343,,33.7674254639,,36.5993313052,,19.8147643067,,19.3431258045,,20.3234906906,,144.0723439832,,57.1162387049,
3061water_regimewatered,3334844,Cam12,Syngenta Campagnola 2012,127460,https://doi.org/10.15454/COQ7PM,PB98TR_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,230.1308628947,,1456.6100858198,,70.7684489057,,77.6007207926,,-19.0527777778,,-24.9924242424,,101.969,,1199.59,,317.925,,36.8577470362,,33.6509513678,,36.2678178907,,20.5727244541,,19.2381969473,,20.050356354,,266.4410656737,,116.6382075211,
3084water_regimerainfed,3334618,Cam12,Syngenta Campagnola 2012,127480,https://doi.org/10.15454/ELUEOX,F98902_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,151.0286564935,,308.366476153,,69.808193672,,79.223647139,,-13.1724137931,,-86.4761904762,,58.039,,1150.251,,378.004,,36.2183065647,,33.5918298907,,36.5231803931,,19.88559752,,19.334425003,,20.2910643377,,180.2566871541,,82.0737403778,
3012water_regimerainfed,3334550,Cam12,Syngenta Campagnola 2012,127411,https://doi.org/10.15454/KIHXDG,B105_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,116.4697062137,,402.2458519875,,69.1832639921,,82.832525709,,-13.056547619,,-81.8055555556,,58.039,,1099.597,,428.658,,36.2183065647,,33.4496615166,,36.6215716662,,19.88559752,,19.2926518775,,20.313619508,,145.6162090564,,62.8879457178,
3083water_regimewatered,3334863,Cam12,Syngenta Campagnola 2012,127479,https://doi.org/10.15454/ZUQPG3,PHB09_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,183.3132747823,,906.1015830868,,69.0855129795,,73.2312596239,,-18.8888888889,,-26.6349206349,,77.708,,1244.643,,275.454,,36.7456107774,,33.9345049241,,36.4021920252,,20.3471009675,,19.2652301985,,20.5606633705,,215.30742391,,103.5546578996,
3083water_regimerainfed,3334617,Cam12,Syngenta Campagnola 2012,127479,https://doi.org/10.15454/ZUQPG3,PHB09_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,120.2938745068,,410.0730869801,,70.9905891822,,82.0108372062,,-13.1228070175,,-85.2345679012,,77.708,,1125.174,,378.003,,36.7456107774,,33.5173462901,,36.4047725878,,20.3471009675,,19.3226698443,,20.1210243925,,152.2786309946,,62.5879942043,
3033water_regimerainfed,3334571,Cam12,Syngenta Campagnola 2012,127432,https://doi.org/10.15454/V2GUZ8,EC232_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,111.1285054641,,329.0801781016,,70.6386658534,,84.5041168912,,-12.9575757576,,-80.3277777778,,67.73,,1067.157,,427.862,,36.4726920779,,33.573198829,,36.5693839737,,20.0961815536,,19.2511444702,,20.3331733927,,141.715747283,,60.9921351931,
3171water_regimewatered,3334946,Cam12,Syngenta Campagnola 2012,127565,https://doi.org/10.15454/WNQFKH,LH39_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,180.455922143,,655.3278312361,,68.0187238675,,72.9370371683,,-18.8888888889,,-26,,49.762,,1244.643,,299.767,,36.0860302343,,33.9345049241,,36.7159198849,,19.8147643067,,19.2652301985,,20.748437592,,209.3785409544,,94.5573150865,
3060water_regimewatered,3334843,Cam12,Syngenta Campagnola 2012,127459,https://doi.org/10.15454/DTTZ23,LH145_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,186.6784092392,,1297.7698538328,,68.9241142401,,70.526928315,,-18.3666666667,,-28.5555555556,,58.039,,1297.552,,246.858,,36.2183065647,,33.9509766088,,36.8299282199,,19.88559752,,19.2924537802,,20.7759505965,,229.4187210542,,99.7342616127,
