observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3151water_regimewatered,3337206,Gai12,Biogemma Gaillac 2012,127545,https://doi.org/10.15454/V1LWRV,FP1_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,239.2093262119,,298.1156161429,,4296.290434441,,62.3022168442,,64.1865777434,,-9.5997474747,,-22.1971153846,,200.504,,1015.171,,283.278,,26.7400994869,,25.4721617023,,26.8330197646,,17.9165788318,,17.0952924858,,17.7741550117,,289.2995841004,,118.021078716,
3001water_regimewatered,3337063,Gai12,Biogemma Gaillac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,255.414764403,,334.5244829567,,4237.8635823206,,67.4443269982,,66.464886421,,-9.9206989247,,-20.2554347826,,280.475,,963.435,,241.887,,27.1868526225,,25.3819659186,,27.2798120066,,18.472430303,,17.0028854165,,18.1438998682,,325.4149460451,,139.08769174,
3149water_regimerainfed,3336958,Gai12,Biogemma Gaillac 2012,127543,https://doi.org/10.15454/TML7FA,F908_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,169.7985069678,,250.2639016475,,715.4607656777,,63.4195057904,,72.4563401423,,,,,,,,,,,,,,,,,,,,,,,,229.2265755206,,100.9311524463,
3164water_regimewatered,3337217,Gai12,Biogemma Gaillac 2012,127558,https://doi.org/10.15454/C4VEF0,I233_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,258.6592037119,,315.6610772978,,4962.05114219,,73.1479373036,,75.6706450977,,-8.4739583333,,-19.0013888889,,283.181,,816.39,,282.82,,26.9710257968,,25.1369349101,,27.4903972753,,18.2307556333,,16.8865128904,,18.187989899,,301.5517710632,,122.4473314832,
3166water_regimewatered,3337219,Gai12,Biogemma Gaillac 2012,127560,https://doi.org/10.15454/DEW3P6,I242_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,265.4881133683,,330.4651667893,,4220.9435876885,,69.6892155413,,70.7477908554,,-8.6354166667,,-20.899691358,,263.182,,895.194,,257.568,,27.0224858534,,25.3450619165,,27.3860650089,,18.2659858586,,16.9443230001,,18.2985072952,,296.8506196838,,147.4205064087,
3166water_regimerainfed,3336973,Gai12,Biogemma Gaillac 2012,127560,https://doi.org/10.15454/DEW3P6,I242_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,166.5367186372,,299.5278284791,,999.785626182,,69.1258723844,,83.0272424198,,,,,,,,,,,,,,,,,,,,,,,,195.0551583496,,108.6393839331,
3173water_regimewatered,3337226,Gai12,Biogemma Gaillac 2012,127567,https://doi.org/10.15454/MR6MIM,LH60_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,242.482092952,,330.1349437098,,4281.6015710437,,68.3184460092,,68.3075495436,,-9.6847222222,,-19.1534090909,,319.22,,941.231,,239.031,,27.1150701404,,25.3381821444,,27.396718559,,18.4739180264,,16.9818724562,,18.1736225895,,317.2248901127,,109.034200764,
3175water_regimewatered,3337228,Gai12,Biogemma Gaillac 2012,127569,https://doi.org/10.15454/TW76QX,Lo1016_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,254.0803120898,,346.8001335424,,5138.9640720014,,67.8306528483,,71.4938579745,,-8.6354166667,,-21.2112068966,,222.925,,895.194,,310.128,,26.5814758741,,25.2610414311,,27.3530626386,,17.8503858586,,16.902988467,,18.261368861,,327.9788149662,,123.6472391049,
3177water_regimewatered,3337230,Gai12,Biogemma Gaillac 2012,127571,https://doi.org/10.15454/PM06E7,Lo1035_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,245.2160948705,,330.9202718153,,4597.0698653409,,71.2781013075,,69.5353662946,,-9.2629310345,,-19.9424603175,,358.108,,917.38,,208.743,,26.8655532639,,25.2945761976,,27.7761752936,,18.367671156,,16.9207180145,,18.4896825397,,312.1737335054,,121.8169036902,
3177water_regimerainfed,3336984,Gai12,Biogemma Gaillac 2012,127571,https://doi.org/10.15454/PM06E7,Lo1035_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,168.164973719,,326.9764557704,,1146.1948585807,,70.915913377,,82.0156040639,,,,,,,,,,,,,,,,,,,,,,,,205.4678991785,,98.25384414,
