observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,ASI_D20deg(MIPO:0000026),ASI_D20deg(MIPO:0000026).date,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,ear_height(MIPO:0000007),ear_height(MIPO:0000007).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
400310,3359701,Kar13,KWS Karlsruhe 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,400310,,12,27,"REPLICATE>BLOCK>PLOT:400310,REPLICATE>BLOCK:30,REPLICATE:2",watered,2013,"1,40372261920",,"67,2869986061",,3693.319487712,,9.9056653595,,268.2049411765,,"68,6907212253",,130,,240,,295,
400212,3359592,Kar13,KWS Karlsruhe 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,400212,,9,13,"REPLICATE>BLOCK>PLOT:400212,REPLICATE>BLOCK:17,REPLICATE:1",watered,2013,"-1,63717628050",,"71,9479437137",,3549.186128804,,9.1476222222,,257.7385882353,,"70,3107674332",,125,,230,,270,
401707,3359072,Kar13,KWS Karlsruhe 2013,127547,https://doi.org/10.15454/KVWABC,F252_H,REPLICATE>BLOCK>PLOT,,,401707,,10,34,"REPLICATE>BLOCK>PLOT:401707,REPLICATE>BLOCK:20,REPLICATE:2",rainfed,2013,"1,58893834100",,"57,9921842405",,2178.2661782662,,5.303027451,,243.4517647059,,"59,5811225815",,125,,250,,285,
401277,3358612,Kar13,KWS Karlsruhe 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,401277,,2,32,"REPLICATE>BLOCK>PLOT:401277,REPLICATE>BLOCK:4,REPLICATE:2",rainfed,2013,"0,00000000000",,"67,2869986061",,4458.5537918871,,11.5230535948,,258.4482352941,,"67,2869986061",,135,,260,,315,
400117,3359493,Kar13,KWS Karlsruhe 2013,127547,https://doi.org/10.15454/KVWABC,F252_H,REPLICATE>BLOCK>PLOT,,,400117,,6,5,"REPLICATE>BLOCK>PLOT:400117,REPLICATE>BLOCK:5,REPLICATE:1",watered,2013,"1,57791537510",,"59,5811225815",,1639.8182569186,,4.0026941176,,244.0937647059,,"61,1590379566",,NA,,NA,,NA,
400380,3359772,Kar13,KWS Karlsruhe 2013,127547,https://doi.org/10.15454/KVWABC,F252_H,REPLICATE>BLOCK>PLOT,,,400380,,15,13,"REPLICATE>BLOCK>PLOT:400380,REPLICATE>BLOCK:14,REPLICATE:2",watered,2013,"3,15357743280",,"59,5811225815",,2315.8790974883,,5.5616,,240.1507058824,,"62,7347000143",,NA,,245,,290,
400304,3359666,Kar13,KWS Karlsruhe 2013,127474,https://doi.org/10.15454/GF4RQE,EP55_H,REPLICATE>BLOCK>PLOT,,,400304,,11,24,"REPLICATE>BLOCK>PLOT:400304,REPLICATE>BLOCK:29,REPLICATE:2",watered,2013,"0,00000000000",,"67,2869986061",,3133.0028913672,,7.0664437908,,225.5485882353,,"67,2869986061",,140,,270,,315,
400215,3359560,Kar13,KWS Karlsruhe 2013,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,REPLICATE>BLOCK>PLOT,,,400215,,8,10,"REPLICATE>BLOCK>PLOT:400215,REPLICATE>BLOCK:17,REPLICATE:1",watered,2013,"1,40372261920",,"67,2869986061",,3544.2561205273,,8.6768810458,,244.8152941176,,"68,6907212253",,115,,185,,235,
401947,3359324,Kar13,KWS Karlsruhe 2013,127546,https://doi.org/10.15454/FLADQ9,F218_H,REPLICATE>BLOCK>PLOT,,,401947,,14,10,"REPLICATE>BLOCK>PLOT:401947,REPLICATE>BLOCK:28,REPLICATE:1",rainfed,2013,"1,44900139180",,"56,5431828487",,2940.8284023669,,8.3753270588,,284.7948235294,,"57,9921842405",,135,,270,,310,
401281,3358616,Kar13,KWS Karlsruhe 2013,127546,https://doi.org/10.15454/FLADQ9,F218_H,REPLICATE>BLOCK>PLOT,,,401281,,2,28,"REPLICATE>BLOCK>PLOT:401281,REPLICATE>BLOCK:4,REPLICATE:2",rainfed,2013,"3,16685371610",,"57,9921842405",,1989.898989899,,5.4620760784,,274.4901176471,,"61,1590379566",,125,,255,,300,
