observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
10,3360002,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,92,,,,87,,,,,,,,83,,,,16,,9,,,,9,,,,,,,,7.5,,,
3,3359926,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,93,,,,85,,,,,,,,85,,16,,,,8,,,,8,,,,,,,,6.5,
4,3359929,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,83,,,,93,,,,79,,,,,,,,16,,8,,,,9,,,,7,,,,,,,
10,3359967,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,91,,,,87,,,,,,,,83,,,,15,,9,,,,9,,,,,,,,7.5,,,
3,3359968,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,92,,,,85,,,,,,,,86,,16,,,,9,,,,8,,,,,,,,7,
6,3359930,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,82,,,,87,,,,83,,,,,,,,17,,8,,,,9,,,,8,,,,,,,
9,3359928,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,89,,,,84,,,,,,,,82,,16,,,,9,,,,8,,,,,,,,7.5,
2,3359962,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,92,,,,84,,,,,,,,80,,,,15,,8.5,,,,8.5,,,,,,,,7.5,,,
5,3359933,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,93,,,,92,,,,68,,,,,,17,,,,9,,,,8.5,,,,7,,,,,
2,3359925,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,92,,,,82,,,,,,,,86,,17,,,,8.5,,,,7,,,,,,,,7.5,
