observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
13,3361484,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,13,,,"REPLICATE>BLOCK>PLOT>PLANT:13,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,100,,,,90,,,,,,,,,,15,,9,,,,11,,,,,,,,,
2,3361475,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,87,,,,82,,,,,,,,,,15,,7,,,,7,,,,,,,,,
15,3361512,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,15,,,"REPLICATE>BLOCK>PLOT>PLANT:15,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,98,,,,80,,,,,,,,15,,,,9,,,,9,,,,,,,
9,3361496,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,,,,,,,85,,,,58,,,,18,,,,,,,,8,,,,7,,,
17,3361487,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,17,,,"REPLICATE>BLOCK>PLOT>PLANT:17,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,100,,,,83,,,,,,,,,,15,,8,,,,8,,,,,,,,,
20,3361489,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,20,,,"REPLICATE>BLOCK>PLOT>PLANT:20,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,94,,,,85,,,,,,,,,,16,,8.5,,,,8.5,,,,,,,,,
4,3361502,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,82,,,,61,,,,,,,,,,15,,7,,,,7.5,,,,,,,,,
8,3361474,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:NXN2LAV2011027,REPLICATE>BLOCK:22,REPLICATE>BLOCK:29,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,,,98,,,,78,,,,,,,,16,,,,8,,,,8,,,,,,,
6,3361481,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,98,,,,91,,,,,,,,,,15,,8.5,,,,11,,,,,,,,,
3,3361470,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:NXN2LAV2011027,REPLICATE>BLOCK:22,REPLICATE>BLOCK:29,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,,,99,,,,77,,,,,,,,16,,,,9,,,,9,,,,,,,
