observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
9,3362984,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,91.4,,,,85.2,,,,,,84.2,,16,,,,8.7,,,,8.4,,,,,,7.9,
4,3363008,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,91.7,,,,92,,,,79.5,,,,,,17,,8,,,,8.5,,,,8.2,,,,,
1,3362976,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,75,,,,68.6,,,,,,74.2,,16,,,,7.1,,,,7.3,,,,,,7,
7,3362982,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,90.3,,,,82.3,,,,,,85.6,,16,,,,8,,,,8.1,,,,,,7.9,
8,3362983,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,81.7,,,,71,,,,,,79.8,,16,,,,7.1,,,,7.3,,,,,,7.6,
5,3363009,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,85.7,,,,86.5,,,,68.2,,,,,,17,,8,,,,7.8,,,,7.3,,,,,
3,3362991,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:NXN2LAV1040006,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,67.8,,,,54,,,,,,69.7,,16,,,,6.3,,,,6.1,,,,,,6.8,
6,3363010,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,83.9,,,,94,,,,72.5,,,,,,17,,8,,,,8.3,,,,7.8,,,,,
10,3362985,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,90.6,,,,80.2,,,,,,82.7,,16,,,,8.3,,,,8.2,,,,,,7.8,
2,3362980,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,81.1,,,,76.3,,,,,,80.5,,17,,,,7,,,,7.5,,,,,,6.8,
