observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Ressoritkt,2768850,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,144,,"100,6",,1,,"98,9",,,,,
Ressoritkfi,2768848,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"116,1",,3,,79,,6,,,
CF9825itkfi,2768809,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,4,,,,"111,7",,8,,76,,1,,,
Voltigeitkt,2768826,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,145,,"100,3",,1,,"98,6",,,,,
Ressoritknt,2768849,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,106,,1,,"91,3",,4,,3,
Orvantisitkt,2768862,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,144,,"117,4",,1,,"115,5",,,,,
CF99075itknt,2768822,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"117,3",,2,,"101,1",,1,,3,
CF99005itkfi,2768851,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"102,2",,6,,"69,5",,4,,,
EM99012itknt,2768888,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,4,,,,"101,8",,2,,"87,7",,1,,3,
EM99012itkfi,2768887,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,4,,,,"107,4",,2,,73,,1,,,
EM99017itkfi,2768890,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,2,,,,"141,8",,4,,"96,5",,1,,,
RE99004itkfi,2768827,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"108,9",,3,,"74,1",,6,,,
Isengrainitkfi,2768863,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,5,,,,"104,8",,8,,"71,3",,3,,,
CF99005itkt,2768853,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,136,,"98,3",,3,,"96,6",,,,,
RE99004itknt,2768828,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"99,4",,2,,"85,6",,6,,4,
CF99005itknt,2768852,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"96,7",,4,,"83,3",,3,,4,
EM99012itkt,2768889,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,146,,"99,8",,1,,"98,1",,,,,
EM99017itknt,2768891,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,4,,,,117,,3,,"100,8",,1,,4,
RE99009itknt,2768873,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"98,2",,3,,"84,6",,6,,4,
RE99009itkfi,2768872,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,3,,,,"107,2",,3,,"72,9",,6,,,
EM99003itknt,2768834,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,99,,3,,"85,2",,3,,4,
Orvantisitkfi,2768860,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"123,4",,3,,"83,9",,6,,,
RE99009itkt,2768874,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2001,70,,,,148,,"103,8",,1,,102,,,,,
EM99001itkfi,2768839,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"102,3",,3,,"69,6",,1,,,
EM99017itkt,2768892,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,100,,,,143,,"116,8",,1,,"114,9",,,,,
